id,RT2_I,T2_J,T2_I,T2_Ja,mean_confidence_interval_inf,baseline,T2_Ia,technique,RT2_J,VEC2,VEC1,SCR,U1_K,U1_J,cost_std,runs,U2_I,U2_J,cost_mean,correct_result,OMP,mean_confidence_interval_sup
1,1,2048,64,2048,1.8595122350430318,False,512,RS,16,True,True,True,20,29,0.00021420784299370322,10,1,19,1.859645,True,False,1.8597777649569682
2,1,1,512,32,3.010596095971957,False,2048,RS,8,True,False,False,5,2,0.00033705340823075625,10,1,14,3.010805,True,False,3.011013904028043
3,1,512,4,1024,inf,False,256,RS,8,True,True,True,19,5,inf,1,1,26,inf,False,True,inf
4,2,32,512,32,4.975647235660978,False,2048,RS,1,False,True,False,1,15,0.0005465747890269373,10,1,28,4.975986,True,False,4.976324764339021
5,2,128,4,512,0.2667707170570693,False,32,RS,8,True,True,False,15,3,0.03573614144755979,10,1,26,0.2889198,True,True,0.3110688829429307
6,2,128,2,256,inf,False,16,RS,4,True,False,True,3,2,inf,1,1,14,inf,False,True,inf
7,4,16,8,64,inf,False,2048,RS,2,False,False,True,5,15,inf,1,1,23,inf,False,True,inf
8,16,4,64,512,inf,False,64,RS,8,True,False,True,8,28,inf,1,1,15,inf,False,False,inf
9,8,64,2,256,inf,False,512,RS,4,True,False,True,16,8,inf,1,1,26,inf,False,True,inf
10,8,2,8,16,inf,False,32,RS,4,True,False,True,5,7,inf,1,1,5,inf,False,False,inf
11,2,4,256,64,5.980788244026324,False,512,RS,2,False,True,False,7,4,0.00023516802503749322,10,1,28,5.9809339999999995,True,False,5.981079755973675
12,4,64,16,128,inf,False,1024,RS,16,True,False,True,10,2,inf,1,1,23,inf,False,False,inf
13,4,128,16,128,2.227654897003816,False,16,RS,2,False,True,True,15,10,0.0009666147112474988,10,8,1,2.2282539999999997,True,False,2.2288531029961836
14,8,8,16,2048,2.2634218009156313,False,1024,RS,1,True,True,True,11,10,0.04951991785130496,10,19,1,2.294114,True,True,2.3248061990843687
15,8,512,2,512,0.2627984955623472,False,64,RS,8,True,True,False,15,9,0.027393418070040105,10,25,1,0.27977680000000005,True,True,0.2967551044376529
16,16,512,2,2048,inf,False,2,RS,8,True,True,True,14,6,inf,1,13,1,inf,False,True,inf
17,1,512,16,512,inf,False,32,RS,1,False,False,True,14,12,inf,1,1,19,inf,False,False,inf
18,2,16,32,1024,inf,False,32,RS,4,True,False,True,21,17,inf,1,1,12,inf,False,False,inf
19,32,4,8,32,inf,False,1,RS,1,False,True,True,7,15,inf,1,1,7,inf,False,False,inf
20,1,16,1024,512,inf,False,1,RS,1,False,False,True,17,15,inf,1,29,1,inf,False,True,inf
21,32,8,256,16,inf,False,2048,RS,1,False,True,True,15,27,inf,1,1,16,inf,False,True,inf
22,4,256,32,2048,1.2143366361625245,False,512,RS,4,False,False,False,8,6,0.024013364195797294,10,1,19,1.22922,True,True,1.2441033638374754
23,16,4,256,32,inf,False,1024,RS,1,True,True,False,11,26,inf,1,1,18,inf,False,True,inf
24,1,16,1,1,inf,False,128,RS,2,True,False,True,30,14,inf,1,1,24,inf,False,False,inf
