id,runs,mean_confidence_interval_sup,mean_confidence_interval_inf,U2_I,U2_J,cost_mean,baseline,technique,RT2_J,T2_Ia,correct_result,T2_J,T2_I,OMP,VEC2,cost_std,T2_Ja,SCR,RT2_I
1,10,0.22791560223067386,0.22752879776932616,1,18,0.2277222,False,DLMT,16,1,True,2,2048,False,False,0.00031204224073032224,512,False,8
2,10,0.1280737145718584,0.12800048542814157,30,1,0.1280371,False,DLMT,2,512,True,64,32,False,True,5.907529094299626e-05,64,True,8
3,10,0.10317837277005834,0.10315042722994167,1,2,0.1031644,False,DLMT,4,2048,True,128,2048,False,True,2.2544178849541134e-05,1,True,4
4,10,0.06449806676911041,0.0485789332308896,11,1,0.056538500000000005,False,DLMT,1,2048,True,256,1024,True,True,0.012842256478750142,2048,False,1
5,10,0.08327675560580373,0.061844184394196304,20,1,0.07256047000000002,False,DLMT,4,512,True,2048,8,True,False,0.0172900475919559,1,False,4
6,10,0.15202794905124187,0.1467798509487581,13,1,0.14940389999999998,False,DLMT,1,512,True,16,128,False,False,0.004233736823422072,16,False,8
7,10,0.12996366707239648,0.09019767292760354,1,14,0.11008067000000002,False,DLMT,32,512,True,1,4,True,True,0.03207995552733981,2,True,1
8,10,0.2088396587330771,0.20841674126692292,26,1,0.2086282,False,DLMT,32,128,True,32,1,False,False,0.00034117526287818454,1,False,1
9,10,0.11064627610079651,0.11060352389920348,3,1,0.1106249,False,DLMT,1,32,True,128,16,False,False,3.448898374843863e-05,256,True,32
10,10,0.10668788612188555,0.07869615387811445,10,1,0.09269202,False,DLMT,4,1,True,1024,256,True,False,0.022581442884182578,1024,True,32
11,10,0.09872858989124489,0.07475539010875512,1,30,0.08674199,False,DLMT,1,512,True,128,1,True,True,0.019339619174867432,256,False,1
12,10,0.10362011736549273,0.1034846826345073,1,10,0.10355240000000002,False,DLMT,32,16,True,512,16,False,False,0.00010925767707580096,2048,False,1
13,10,0.12051305020714473,0.12047034979285529,30,1,0.12049170000000001,False,DLMT,4,64,True,2,1,False,False,3.444720598248945e-05,16,False,2
14,10,0.23720376149745992,0.23716243850254015,1,13,0.23718310000000004,False,DLMT,2,2048,True,16,2,False,False,3.333601655867498e-05,1,False,32
15,10,0.09655285884205783,0.07762714115794211,1,24,0.08708999999999997,False,DLMT,8,16,True,512,2,True,True,0.015267722954913746,1,False,8
16,10,0.11950193677616586,0.11946306322383415,1,20,0.1194825,False,DLMT,2,1,True,2048,1,False,True,3.1360006377552815e-05,2048,False,2
17,10,0.12860692480107158,0.12857867519892843,1,2,0.1285928,False,DLMT,16,256,True,8,1,False,True,2.278947125319233e-05,2048,False,2
18,10,0.2977169603018187,0.2976660396981814,23,1,0.29769150000000005,False,DLMT,2,64,True,2,2,False,True,4.107858322775821e-05,16,False,16
19,10,0.08096090967239086,0.06998465032760912,8,1,0.07547277999999999,False,DLMT,2,1,True,4,8,True,True,0.008854749370908247,2048,False,1
20,10,0.8060573090682188,0.8056758909317814,15,1,0.8058666000000001,False,DLMT,32,2048,True,4,1,False,False,0.00030769699381046127,4,True,4
21,10,0.1115621588651737,0.11135284113482632,1,27,0.11145750000000001,False,DLMT,1,1,True,1,32,False,True,0.0001688604453387479,1,False,4
22,10,0.1026527091446323,0.06855027085536768,1,30,0.08560148999999999,False,DLMT,32,1024,True,16,512,True,True,0.027511061328180347,1024,False,2
