id,T2_K,T2_J,T2_I,mean_confidence_interval_inf,RT_K,baseline,T1_J,T1_K,technique,VEC2,VEC1,SCR,ACOPY_x,ACOPY_y,U1_I,RT_J,T1_I,runs,RT_I,U_K,U_J,U_I,cost_std,correct_result,cost_mean,mean_confidence_interval_sup
1,1024,1,1024,inf,32,False,64,128,DLMT,True,False,False,True,True,29,1,1,1,1,20,28,1,inf,False,inf,inf
2,2048,64,512,0.47452413363705664,8,False,16,16,DLMT,True,True,True,True,False,6,1,64,35,1,1,17,30,0.003846499011850032,True,0.4757984571428571,0.4770727806486576
3,256,1,2048,0.23602123780537365,1,False,128,32,DLMT,False,False,True,True,False,14,1,128,35,32,27,1,24,0.00032424135127640864,True,0.2361286571428572,0.23623607648034073
4,256,256,1,0.2842014684835917,1,False,256,128,DLMT,False,True,True,False,False,30,32,512,35,1,1,20,30,0.0005751986730420936,True,0.2843920285714286,0.2845825886592655
5,512,1,128,0.26402499861946915,1,False,1,16,DLMT,True,False,True,False,True,30,1,32,35,32,11,9,1,0.0002477769009675068,True,0.26410708571428565,0.26418917280910215
6,1024,256,1,0.1106850421576502,1,False,128,512,DLMT,False,True,True,True,True,20,1,256,35,8,9,27,1,0.00011086596430292042,True,0.11072177142857141,0.11075850069949263
7,64,2048,1024,0.22888439513274172,32,False,16,64,DLMT,False,False,True,True,False,9,1,512,35,1,13,28,1,0.00010384983664613512,True,0.22891879999999998,0.22895320486725823
8,64,1,256,inf,32,False,512,32,DLMT,False,False,True,False,True,3,1,16,1,1,28,1,27,inf,False,inf,inf
9,1024,128,1,inf,1,False,32,64,DLMT,True,True,True,False,False,30,1,1,1,32,1,26,30,inf,False,inf,inf
10,1024,2048,512,0.12204803819370638,32,False,512,512,DLMT,True,False,True,True,False,17,1,1,35,1,8,1,2,4.981872445298378e-05,True,0.12206454285714288,0.12208104752057938
11,2048,2048,2048,inf,1,False,16,16,DLMT,False,True,True,True,True,30,32,128,1,1,1,15,1,inf,False,inf,inf
12,2048,2048,1024,inf,32,False,1,32,DLMT,True,True,False,False,True,1,1,512,1,1,29,1,7,inf,False,inf,inf
13,2048,2048,512,0.2012709661971744,1,False,16,512,DLMT,True,False,True,True,True,25,1,128,35,1,27,1,26,0.00037758245592242384,True,0.2013960571428571,0.2015211480885398
14,1024,2048,2048,0.19973624843607443,1,False,16,32,DLMT,False,False,True,False,True,15,1,512,35,1,1,30,29,0.00011671145651405678,True,0.19977491428571428,0.19981358013535414
15,1024,512,2048,0.26994283326456214,1,False,256,512,DLMT,True,True,False,True,True,1,1,512,35,32,1,25,26,7.544742188695012e-05,True,0.2699678285714286,0.26999282387829504
16,512,2048,2048,0.18870684742793714,1,False,32,64,DLMT,True,True,True,False,False,14,1,16,35,32,29,25,1,9.584398036094247e-05,True,0.18873859999999998,0.18877035257206282
17,2048,128,512,0.19594886335795,1,False,1,512,DLMT,False,False,False,False,False,11,32,16,35,1,29,29,1,9.286367449555687e-05,True,0.1959796285714286,0.19601039378490717
18,64,1024,1,inf,1,False,512,64,DLMT,True,False,False,True,True,27,32,512,1,1,29,1,29,inf,False,inf,inf
19,1,64,2048,0.11808708909784886,1,False,16,256,DLMT,True,False,False,False,False,18,1,64,35,1,13,1,12,0.00010891319891528028,True,0.11812317142857144,0.11815925375929402
20,256,2048,64,0.26627241209561126,1,False,16,1,DLMT,False,False,False,True,False,7,1,1,35,32,1,10,19,0.0002766272316785257,True,0.2663640571428572,0.26645570219010317
21,1,1,2048,0.19787019218387303,1,False,128,128,DLMT,True,True,True,True,False,29,8,16,35,1,23,28,1,4.0902212903558806e-05,True,0.19788374285714286,0.1978972935304127
22,2048,2048,512,0.16133241272944315,1,False,128,1,DLMT,True,False,False,False,False,28,32,32,35,1,1,30,18,4.730833295886665e-05,True,0.16134808571428574,0.16136375869912833
23,64,256,1,inf,1,False,16,1,DLMT,True,True,False,True,True,3,32,32,1,1,1,28,22,inf,False,inf,inf
24,1,2048,512,0.1831649966837959,1,False,512,16,DLMT,False,True,False,False,True,26,1,64,35,1,1,24,4,3.614533023723934e-05,True,0.18317697142857142,0.18318894617334694
25,2048,1,2048,0.1928846963458161,1,False,512,64,DLMT,False,True,False,False,False,24,1,1,35,1,2,1,30,0.0001939257505714341,True,0.19294894285714284,0.1930131893684696
26,1,1,512,inf,32,False,16,1,DLMT,True,True,False,False,True,30,1,256,1,1,23,1,27,inf,False,inf,inf
27,2048,1,1,0.20770927732212371,1,False,256,16,DLMT,True,False,False,False,False,5,1,512,35,1,24,26,1,4.469859149495108e-05,True,0.20772408571428572,0.20773889410644772
28,1024,128,64,0.13872930641899353,1,False,1,512,DLMT,True,True,True,False,True,6,32,1,35,1,18,1,9,0.00024538170848118043,True,0.13881059999999998,0.13889189358100643
29,1024,2048,1,0.2739514896183291,8,False,1,512,DLMT,False,True,False,True,False,27,1,16,35,1,30,5,1,0.00039739049833037286,True,0.2740831428571429,0.2742147960959567
30,1,1,1,0.17643938536049722,1,True,1,1,DLMT,False,False,False,False,False,1,1,1,35,1,1,1,1,0.0005115443923122624,True,0.17660885714285715,0.17677832892521708
31,1024,2048,2048,inf,1,False,64,128,DLMT,True,False,True,True,True,1,32,512,1,1,12,2,1,inf,False,inf,inf
32,2048,1024,128,0.2722203976223579,8,False,128,16,DLMT,True,False,True,False,True,4,8,16,35,1,5,3,1,0.00011419133960514235,True,0.27225822857142856,0.27229605952049923
33,256,512,128,0.2243003704851891,1,False,16,32,DLMT,False,False,True,False,False,5,1,32,35,32,1,4,28,0.00015334079425799473,True,0.22435117142857142,0.22440197237195372
34,1024,512,2048,inf,1,False,512,64,DLMT,False,False,True,True,True,9,32,256,1,1,17,1,26,inf,False,inf,inf
35,1,1,256,0.18770652904192442,1,False,1,64,DLMT,True,True,True,True,False,16,1,16,35,1,25,27,1,4.480120260776498e-05,True,0.18772137142857143,0.18773621381521843
36,64,64,1,0.208857730857088,1,False,16,64,DLMT,True,False,True,False,True,21,1,512,35,1,7,11,1,5.316117963710187e-05,True,0.20887534285714285,0.2088929548571977
37,512,128,2048,0.11627110314834617,1,False,128,256,DLMT,False,True,True,False,False,30,8,256,35,1,17,1,24,6.687102419995602e-05,True,0.11629325714285714,0.11631541113736811
38,1024,1,1024,0.17820550192859505,1,False,16,32,DLMT,True,True,True,False,False,1,32,512,35,1,28,20,1,3.4447783614022856e-05,True,0.1782169142857143,0.17822832664283353
39,1024,2048,1,0.31644013211773486,1,False,16,1,DLMT,False,True,False,True,True,6,8,512,35,1,14,1,29,0.0006670266120811772,True,0.3166611142857143,0.31688209645369375
40,1,2048,128,0.2810119889853367,1,False,64,512,DLMT,False,True,True,True,False,3,1,64,35,32,15,13,1,0.0002632432660921386,True,0.2810992,0.2811864110146633
41,1,2048,512,inf,1,False,512,1,DLMT,True,True,False,True,False,22,32,256,1,1,14,11,1,inf,False,inf,inf
42,256,1,256,inf,1,False,512,64,DLMT,False,False,True,True,True,27,32,1,1,1,1,30,10,inf,False,inf,inf
43,1,2048,1,0.19564791076578955,32,False,512,128,DLMT,False,False,False,False,False,17,1,512,35,1,19,29,1,0.00018042850130074424,True,0.1957076857142857,0.19576746066278186
44,512,2048,1,0.21508943481171197,1,False,512,512,DLMT,True,False,False,True,False,7,1,256,35,1,1,28,27,8.743036412727547e-05,True,0.21511840000000004,0.21514736518828811
45,2048,1,64,inf,1,False,32,512,DLMT,True,False,False,True,False,8,32,1,1,1,1,23,14,inf,False,inf,inf
46,1,1,256,0.2061271972124481,1,False,512,512,DLMT,True,True,False,False,True,28,1,256,35,32,24,1,12,0.0001634366531468274,True,0.20618134285714285,0.2062354885018376
47,2048,256,64,0.21845335068473415,32,False,256,1,DLMT,True,True,True,False,False,27,1,1,35,1,1,23,29,0.0026705404094241585,True,0.21933808571428573,0.2202228207438373
48,1024,2048,1024,0.3421830761967362,1,False,256,16,DLMT,False,False,False,False,False,25,1,32,35,32,23,28,1,0.0008648616470693013,True,0.34246960000000004,0.34275612380326387
49,1024,2048,64,0.187721638923291,1,False,512,512,DLMT,False,False,False,False,True,30,1,64,35,1,29,1,14,5.2921227560691845e-05,True,0.1877391714285714,0.18775670393385183
50,2048,2048,2048,0.30350055259364456,8,False,1,512,DLMT,False,True,False,True,True,28,8,1,35,1,9,6,1,0.00015822434086074024,True,0.30355297142857146,0.30360539026349836
51,128,2048,2048,0.1751482074629457,32,False,32,32,DLMT,False,False,True,True,False,15,1,512,35,1,30,1,24,7.62152376430028e-05,True,0.1751734571428571,0.17519870682276847
52,1,2048,2048,0.14458183913314632,8,False,128,512,DLMT,True,False,False,False,True,8,1,16,35,8,1,30,29,4.1709158197583766e-05,True,0.14459565714285713,0.14460947515256795
53,2048,256,512,inf,32,False,1,512,DLMT,False,True,False,False,True,21,1,512,1,1,1,30,4,inf,False,inf,inf
54,128,2048,2048,0.140938796234392,1,False,16,128,DLMT,True,True,False,False,True,1,32,32,35,1,1,29,5,5.7534656813906786e-05,True,0.14095785714285716,0.14097691805132231
55,1,1,64,0.19419894504120053,32,False,32,64,DLMT,True,False,False,True,False,3,1,64,35,1,1,4,1,5.587810348409844e-05,True,0.19421745714285713,0.19423596924451372
56,1024,1,2048,0.12279960864147368,1,False,512,64,DLMT,False,True,False,False,False,7,8,16,35,8,1,15,9,4.7406914160321206e-05,True,0.1228153142857143,0.1228310199299549
57,1,256,1,0.3113408919887214,1,False,1,64,DLMT,False,False,False,False,False,27,32,1,35,1,21,1,30,0.0002487886965081094,True,0.31142331428571435,0.3115057365827073
58,1024,2048,1,0.17656684962773672,1,False,512,512,DLMT,True,True,True,False,True,9,32,16,35,1,29,1,9,0.00010670380900953373,True,0.17660220000000001,0.1766375503722633
59,2048,1,2048,0.23704445416390132,1,False,64,1,DLMT,True,True,False,True,True,11,1,128,35,32,28,1,20,0.00019155206251320154,True,0.2371079142857142,0.23717137440752709
60,2048,2048,2048,0.29784010371601966,1,False,16,64,DLMT,True,False,True,True,False,28,1,512,35,32,1,14,4,0.00021210052680129728,True,0.29791037142857146,0.29798063914112327
61,256,128,2048,0.17242398258869374,1,False,32,32,DLMT,True,True,False,False,False,6,1,1,35,1,22,1,29,0.0002242812738413941,True,0.17249828571428572,0.1725725888398777
62,256,128,2048,inf,32,False,64,16,DLMT,False,False,True,False,True,1,1,512,1,1,10,1,30,inf,False,inf,inf
63,64,128,1024,inf,32,False,16,1,DLMT,True,False,True,True,True,28,1,16,1,1,5,1,12,inf,False,inf,inf
64,1024,128,512,0.1614369168568686,1,False,128,64,DLMT,True,True,False,False,True,27,32,32,35,1,1,26,12,0.00010443107677276167,True,0.1614715142857143,0.16150611171456
65,2048,128,2048,0.19867697892539116,1,False,128,256,DLMT,False,False,True,True,True,28,1,512,35,1,1,25,18,3.6888867852357974e-05,True,0.19868919999999998,0.1987014210746088
66,256,128,2048,inf,1,False,128,1,DLMT,False,False,False,True,False,30,32,1,1,1,1,24,30,inf,False,inf,inf
67,128,128,1,0.21262254683207504,1,False,128,64,DLMT,False,False,False,False,False,20,1,256,35,1,11,28,1,3.905554391125812e-05,True,0.21263548571428575,0.21264842459649647
68,64,128,1,0.21579921504557073,1,False,32,32,DLMT,True,True,True,False,True,17,1,1,35,1,30,10,1,4.255804199884439e-05,True,0.21581331428571426,0.2158274135258578
69,1024,128,1,0.21591909852926494,32,False,16,512,DLMT,True,False,True,True,False,29,1,512,35,1,24,26,1,3.46305279975304e-05,True,0.21593057142857144,0.21594204432787795
70,2048,128,512,0.17735073554942302,1,False,32,128,DLMT,True,True,False,True,False,4,1,512,35,1,1,27,20,0.00017241944584681435,True,0.17740785714285714,0.17746497873629127
71,1,128,1,inf,32,False,16,64,DLMT,False,True,True,True,True,6,1,512,1,1,1,29,30,inf,False,inf,inf
72,2048,128,128,0.18389545697277387,1,False,1,1,DLMT,True,True,False,True,True,26,1,32,35,1,18,1,29,0.00013884983519865665,True,0.18394145714285712,0.18398745731294036
73,2048,128,1,0.10720094096171856,1,False,1,64,DLMT,True,False,True,False,False,6,32,512,35,1,1,8,5,6.356593876777542e-05,True,0.107222,0.10724305903828144
74,1,128,512,0.2042253121790569,1,False,64,512,DLMT,True,False,True,True,True,1,1,64,35,1,1,7,29,0.00419377332837576,True,0.20561468571428576,0.20700405924951462
75,2048,128,1024,0.1364770498107287,1,False,1,1,DLMT,False,False,False,False,False,16,32,512,35,1,1,4,4,6.116757844693042e-05,True,0.13649731428571432,0.13651757876069995
76,2048,128,1,0.15991475093370852,32,False,64,512,DLMT,False,False,False,False,False,13,1,1,35,1,28,1,20,9.587651922538384e-05,True,0.1599465142857143,0.15997827763772007
77,512,128,512,inf,1,False,1,512,DLMT,False,True,True,True,False,28,32,1,1,1,30,1,29,inf,False,inf,inf
78,2048,128,2048,0.18409971827195337,1,False,1,512,DLMT,False,True,True,False,False,23,1,1,35,1,1,23,29,0.00033279513094946594,True,0.18420997142857146,0.18432022458518954
79,1,128,2048,inf,32,False,1,256,DLMT,False,True,False,False,True,8,1,1,1,1,1,23,1,inf,False,inf,inf
80,256,128,2048,inf,1,False,64,128,DLMT,True,False,True,True,False,5,32,16,1,1,30,27,1,inf,False,inf,inf
81,1,128,1,inf,1,False,128,512,DLMT,False,True,True,True,False,16,32,512,1,1,3,1,10,inf,False,inf,inf
82,2048,128,256,0.20891007107562862,1,False,128,512,DLMT,True,False,False,False,True,18,32,256,35,1,28,1,29,0.0015698176990221707,True,0.20943014285714287,0.20995021463865712
83,2048,128,1,inf,1,False,64,16,DLMT,False,False,False,True,True,14,32,1,1,1,30,27,1,inf,False,inf,inf
84,64,128,2048,0.18100501198346514,1,False,32,64,DLMT,False,False,False,True,True,24,1,512,35,1,29,1,3,5.024280636903972e-05,True,0.18102165714285715,0.18103830230224915
85,64,128,512,0.1824210311509112,32,False,128,1,DLMT,True,True,False,False,False,12,1,512,35,1,29,1,28,7.46776255320301e-05,True,0.1824457714285714,0.1824705117062316
86,2048,128,512,0.201847738291124,8,False,32,32,DLMT,False,True,True,False,True,30,8,512,35,1,28,24,1,3.589037731305436e-05,True,0.20185962857142856,0.2018715188517331
87,2048,128,512,0.13808881041141677,32,False,128,16,DLMT,True,True,True,True,False,8,1,32,35,1,4,1,5,0.004756549626331579,True,0.1396646285714286,0.14124044673144046
88,1,128,1024,0.1834912938367343,1,False,64,1,DLMT,True,True,True,True,False,8,1,16,35,1,29,1,30,0.00015365839663729065,True,0.18354219999999996,0.18359310616326563
89,1,128,1,0.14716387826371743,1,False,128,512,DLMT,True,True,True,False,True,1,8,32,35,1,26,1,2,4.141856036678478e-05,True,0.14717760000000002,0.1471913217362826
90,2048,128,256,0.16754923688980086,1,False,1,1,DLMT,True,True,False,True,False,4,1,64,35,1,1,13,2,4.896024209624159e-05,True,0.16756545714285714,0.16758167739591343
91,256,128,128,0.13967053401124432,32,False,128,16,DLMT,True,False,True,False,False,29,1,128,35,1,1,29,21,6.781276744515874e-05,True,0.13969299999999996,0.1397154659887556
92,1,128,2048,inf,32,False,1,512,DLMT,False,True,False,True,True,11,1,512,1,1,7,1,26,inf,False,inf,inf
93,2048,128,512,inf,32,False,128,1,DLMT,True,True,True,True,True,2,1,32,1,1,6,29,1,inf,False,inf,inf
94,2048,128,2048,0.1253488141867669,1,False,16,512,DLMT,False,False,True,False,True,7,8,512,35,1,28,1,14,4.4026745118330136e-05,True,0.1253634,0.12537798581323312
95,1024,128,1,inf,32,False,16,64,DLMT,False,False,False,False,True,29,1,16,1,1,27,28,1,inf,False,inf,inf
96,128,128,2048,0.17019206538464796,32,False,128,64,DLMT,True,False,True,False,False,7,1,512,35,1,6,4,1,6.413903265722215e-05,True,0.17021331428571426,0.17023456318678057
97,2048,128,1024,inf,1,False,1,32,DLMT,True,False,True,True,True,11,32,1,1,1,1,3,30,inf,False,inf,inf
98,64,128,1,inf,1,False,128,64,DLMT,False,False,True,True,True,16,32,1,1,1,1,15,24,inf,False,inf,inf
99,2048,128,1024,0.20256007175386895,1,False,128,512,DLMT,False,False,False,False,False,7,32,16,35,1,4,22,1,3.436638129430001e-05,True,0.20257145714285715,0.20258284253184536
100,1,128,128,inf,1,False,1,512,DLMT,True,True,False,True,False,8,32,32,1,1,28,26,1,inf,False,inf,inf
101,128,128,512,0.3259448880140757,1,False,16,64,DLMT,False,False,False,False,False,14,8,512,35,1,1,29,29,0.0007635780862999878,True,0.3261978571428571,0.3264508262716385
102,2048,128,1,inf,1,False,16,64,DLMT,False,True,True,True,False,28,32,512,1,1,24,1,10,inf,False,inf,inf
103,2048,128,1,0.2571417113306953,1,False,1,512,DLMT,True,False,True,False,False,26,8,128,35,1,8,1,30,0.00013928945049934517,True,0.2571878571428571,0.25723400295501886
104,1,128,2048,0.17369331889877881,1,False,128,512,DLMT,False,True,True,True,False,30,1,256,35,1,16,19,1,3.8449925028454765e-05,True,0.17370605714285714,0.17371879538693547
105,1,128,2048,0.2060635065950866,1,False,1,256,DLMT,True,True,True,False,True,20,32,64,35,1,4,30,1,7.238009648616672e-05,True,0.2060874857142857,0.2061114648334848
106,128,128,1,0.1491865996377951,1,False,128,32,DLMT,True,True,False,False,True,8,32,512,35,1,8,1,16,9.021003157032135e-05,True,0.14921648571428567,0.14924637179077624
107,1,128,128,0.18256810604017074,32,False,1,256,DLMT,False,False,True,True,False,28,1,32,35,1,1,4,5,2.9088380455964117e-05,True,0.18257774285714287,0.182587379674115
108,2048,128,2048,0.2729702311761289,1,False,16,512,DLMT,True,True,False,True,True,29,1,512,35,1,1,25,15,0.0002881260410136576,True,0.27306568571428574,0.2731611402524426
109,2048,128,64,inf,32,False,128,512,DLMT,False,True,False,True,True,14,1,32,1,1,1,2,28,inf,False,inf,inf
110,128,128,512,0.3506197036733369,1,False,64,16,DLMT,True,False,False,True,True,27,1,128,35,1,30,1,5,6.497211960934154e-05,True,0.3506412285714286,0.3506627534695203
111,64,128,64,0.11932532457897954,1,False,16,1,DLMT,False,True,False,False,True,29,1,1,35,1,1,8,9,0.0011383608853549573,True,0.11970245714285715,0.12007958970673477
112,2048,128,2048,0.2681471926439246,32,False,32,16,DLMT,False,True,False,False,False,30,1,32,35,1,26,1,30,0.00030428332661705705,True,0.26824800000000004,0.26834880735607547
113,1,128,2048,inf,1,False,128,512,DLMT,True,False,False,True,False,20,32,32,1,1,27,1,12,inf,False,inf,inf
114,64,1,1,inf,32,False,512,1,DLMT,False,False,True,False,True,16,1,512,1,1,27,13,1,inf,False,inf,inf
115,128,2048,256,0.23774762135913635,32,False,512,16,DLMT,True,True,False,True,False,29,1,1,35,1,9,1,21,0.0002956587111339489,True,0.23784557142857143,0.23794352149800652
116,1024,2048,1,inf,1,False,512,128,DLMT,True,False,True,True,False,3,1,1,1,32,22,1,28,inf,False,inf,inf
117,1,2048,1,0.10813029720291568,1,False,512,256,DLMT,True,True,False,False,True,25,1,512,35,8,1,30,25,4.455234023492023e-05,True,0.10814505714285715,0.1081598170827986
118,256,2048,1,0.12410131839860401,1,False,512,1,DLMT,False,False,False,False,False,30,1,16,35,32,1,2,8,0.0001597074263796657,True,0.12415422857142858,0.12420713874425314
119,128,2048,2048,0.16156967005400738,32,False,16,64,DLMT,False,False,True,True,False,29,1,32,35,1,26,1,13,0.0001202683597932035,True,0.1616095142857143,0.1616493585174212
120,2048,2048,1,0.13301159567205545,1,False,16,32,DLMT,False,True,True,False,False,10,1,128,35,1,5,1,2,3.2957436991691886e-05,True,0.13302251428571427,0.13303343289937308
121,1024,1,1024,inf,1,False,64,64,DLMT,True,True,True,True,False,30,32,512,1,1,5,18,1,inf,False,inf,inf
122,2048,1024,128,0.20007000719301057,1,False,512,16,DLMT,False,True,True,True,False,5,8,32,35,1,30,1,28,0.00032786966798359807,True,0.20017862857142854,0.2002872499498465
123,64,1,2048,0.11014270268979395,1,False,256,16,DLMT,True,False,True,False,False,12,1,512,35,1,6,1,18,9.25724691299539e-05,True,0.11017337142857143,0.11020404016734892
