id,SCREP,runs,T1_I,T1_J,cost_mean,U_J,U_I,technique,mean_confidence_interval_inf,cost_std,correct_result,T2_J,T2_I,OMP,VEC,PAR1j,ACOPY_A,PAR1i,mean_confidence_interval_sup,baseline
1,False,10,128,1,0.07164435,7,1,DLMT,0.06065037674083526,0.017738079019907992,True,2,1,True,False,True,True,False,0.08263832325916473,False
2,False,10,1,8,0.234267,30,1,DLMT,0.2342011749662954,0.00010620451967783486,True,32,512,False,True,False,False,True,0.23433282503370462,False
3,True,10,1,256,0.01572182,1,30,DLMT,0.011970233515996815,0.00605294700419556,True,256,128,True,True,True,True,True,0.019473406484003187,False
4,True,10,2,16,0.20153290000000004,6,1,DLMT,0.2014779829073596,8.8605248151563e-05,True,128,2048,False,False,True,True,False,0.20158781709264048,False
5,True,10,8,1,0.07382625000000001,9,1,DLMT,0.06599616796699723,0.01263334106420388,True,2048,512,True,True,False,True,True,0.0816563320330028,False
6,False,10,1,128,0.02348622,3,15,DLMT,0.016908058757890723,0.010613446218905524,True,256,32,True,False,False,True,True,0.030064381242109275,False
7,False,10,128,16,0.19658820000000002,2,8,DLMT,0.19657340830879882,2.3865456207665065e-05,True,2048,2048,False,True,True,True,True,0.1966029916912012,False
8,False,10,16,1024,0.1257179,1,1,DLMT,0.12569595986865667,3.539901128562629e-05,True,1024,256,False,True,True,False,True,0.12573984013134332,False
9,True,10,1,16,0.06526221,12,4,DLMT,0.062210645452967714,0.0049235059785583705,True,2048,2048,True,True,True,False,False,0.06831377454703229,False
10,False,10,8,8,0.1799604,5,6,DLMT,0.1799367709291161,3.812400818381548e-05,True,1,8,False,True,True,True,False,0.17998402907088387,False
11,False,10,8,1,0.2386533,20,1,DLMT,0.2386382757542032,2.4240668307617002e-05,True,8,8,False,False,True,False,True,0.23866832424579681,False
12,False,10,2048,4,0.10108402000000001,3,3,DLMT,0.0962564007593882,0.007789057654530489,True,16,1,True,False,False,True,True,0.10591163924061182,False
13,False,10,8,4,0.06588670999999999,1,2,DLMT,0.05689763773401964,0.01450329834454563,True,256,8,True,True,False,False,False,0.07487578226598034,False
14,False,10,16,256,0.05959808000000001,28,1,DLMT,0.05837077772982594,0.001980174422519389,True,512,1,True,False,False,True,False,0.06082538227017408,False
15,True,10,1,2048,0.17106749999999998,4,2,DLMT,0.17103554807825055,5.155240052606862e-05,True,2048,8,False,False,False,True,False,0.1710994519217494,False
16,True,10,1024,64,0.08465331999999999,2,5,DLMT,0.07712425542238027,0.01214766847940789,True,1,1024,True,False,True,False,True,0.09218238457761971,False
17,False,10,128,2048,0.08469504000000001,19,1,DLMT,0.07773990184755743,0.01122167456970661,True,1,1024,True,True,False,True,True,0.0916501781524426,False
18,True,10,256,1,0.1608345,29,1,DLMT,0.13940423552481657,0.03457637341090011,True,512,2048,True,False,True,False,True,0.18226476447518342,False
19,False,10,2048,4,0.05598399,1,26,DLMT,0.05178060380686644,0.006781897198343544,True,8,2048,True,True,True,True,False,0.06018737619313355,False
20,True,10,16,16,0.053350629999999996,3,13,DLMT,0.05133574915784932,0.00325088252911421,True,64,128,True,False,True,False,True,0.055365510842150675,False
21,True,10,4,16,0.18923,22,1,DLMT,0.1892091155743555,3.369569705466957e-05,True,1024,256,False,False,False,False,False,0.18925088442564453,False
22,False,10,512,512,0.1267315,7,1,DLMT,0.1267052346543462,4.237747042946071e-05,True,2048,512,False,True,True,False,False,0.1267577653456538,False
23,True,10,512,2,0.08152428000000002,30,1,DLMT,0.07378528009122784,0.012486385829838832,True,16,512,True,True,False,True,False,0.0892632799087722,False
24,False,10,8,2048,0.07269276999999999,5,10,DLMT,0.06259365661536953,0.01629427933147398,True,1,2048,True,True,False,False,True,0.08279188338463045,False
25,False,10,128,2048,0.06345782999999999,1,29,DLMT,0.054547061044671434,0.014376960915927262,True,2048,256,True,False,False,False,True,0.07236859895532854,False
26,True,10,1,1,0.05951356,1,18,DLMT,0.056130081204615406,0.00545902858047107,True,1,512,True,False,True,True,False,0.0628970387953846,False
27,True,10,2048,1,0.11788309999999999,5,7,DLMT,0.11784625846360888,5.944148383073743e-05,True,256,1,False,True,True,False,True,0.1179199415363911,False
28,True,10,64,128,0.1322854,1,23,DLMT,0.13225840339033698,4.355731855842803e-05,True,1,1,False,True,False,False,True,0.132312396609663,False
29,False,10,64,1,0.09257828,1,9,DLMT,0.09257126421590248,1.1319522958146498e-05,True,4,2048,False,True,False,True,False,0.09258529578409752,False
30,True,10,1,2048,0.06376441,2,16,DLMT,0.055023958831481215,0.014102163962204525,True,2048,2,True,True,True,True,False,0.07250486116851877,False
31,False,10,1,1,0.1342588,1,1,DLMT,0.13393473884117754,0.000522852139710642,True,1,1,False,False,False,False,False,0.13458286115882248,True
32,True,10,8,256,0.06513382000000001,1,22,DLMT,0.057479594029994675,0.01234960845288627,True,1024,256,True,False,True,True,True,0.07278804597000534,False
33,True,10,8,256,0.07180981,1,22,DLMT,0.06262691632864226,0.014816016897091472,True,1,1,True,False,False,True,False,0.08099270367135775,False
34,False,10,8,256,0.07225571,1,22,DLMT,0.06292478136059446,0.015054861935099239,True,1024,16,True,True,True,True,False,0.08158663863940555,False
35,False,10,32,256,0.04932262999999999,1,22,DLMT,0.04666897836493315,0.0042814987161156545,True,1024,2048,True,False,False,True,False,0.05197628163506683,False
36,True,10,128,256,0.037919209999999995,1,22,DLMT,0.036610525256445384,0.0021114798850332436,True,1,2048,True,False,True,True,True,0.039227894743554606,False
37,True,10,1024,256,0.02452157,1,22,DLMT,0.021903463078574593,0.0042241495735946665,True,2048,1,True,True,False,True,False,0.027139676921425406,False
