id,T2_J,T2_I,T4_I,T2_Ja,T3_I,T3_Ja,mean_confidence_interval_inf,T4_J,baseline,T2_Ia,technique,T4_Ia,VEC4,VEC2,VEC3,VEC1,RT4_J,T3_J,U2_J,SCR,RT4_I,U1_I,T3_Ia,RT2_I,runs,U2_I,RT2_J,cost_mean,RT3_I,cost_std,RT3_J,correct_result,U4_J,U4_I,T4_Ja,mean_confidence_interval_sup,U3_I,U3_J
1,32,2,2,256,2,2,inf,1024,False,16,RS,16,False,True,True,True,1,2,13,False,2,2,128,8,1,1,4,inf,2,inf,16,False,20,1,1,inf,29,1
2,128,256,8,512,1,8,inf,8,False,512,RS,1024,True,True,True,False,8,4,1,False,16,15,8,2,1,11,16,inf,4,inf,4,False,1,3,8,inf,1,8
3,2,4,4,8,32,1,inf,32,False,2048,RS,1,True,False,False,False,1,64,1,True,1,9,1,2,1,18,1,inf,32,inf,2,False,1,2,128,inf,9,1
4,2,8,128,1024,8,2048,5.648097386302762,64,False,2048,RS,2048,False,True,True,False,2,4,21,False,32,12,512,32,10,1,4,5.648723999999999,2,0.0010110014836783835,32,True,27,1,256,5.649350613697235,6,1
5,32,8,8,2048,8,1024,3.147397011423478,32,False,256,RS,1024,False,False,True,True,2,32,18,True,1,27,64,4,10,1,32,3.1505339999999995,4,0.005061332235686599,2,True,9,1,1024,3.153670988576521,1,26
6,1024,64,8,1024,2048,128,4.107370511336638,32,False,128,RS,64,False,False,True,True,8,2,1,False,16,27,1,16,10,25,1,4.107942,32,0.0009220607355266311,2,True,1,15,2048,4.1085134886633625,1,12
7,8,64,1,2048,2,2048,inf,8,False,256,RS,16,True,False,True,True,32,1024,1,False,2,26,8,2,1,14,2,inf,4,inf,4,False,8,1,64,inf,23,1
8,4,1,256,2048,2,1024,2.868083897923598,128,False,1024,RS,2048,True,False,False,False,32,1024,12,False,2,29,2048,16,10,1,8,2.8684110000000005,2,0.0005277584674829918,16,True,23,1,128,2.868738102076403,1,10
9,4,64,8,512,16,16,2.9626791240721277,1,False,1024,RS,64,False,False,True,True,4,4,2,False,16,30,512,4,10,1,4,2.963006,1,0.000527393591163276,16,True,22,1,64,2.9633328759278723,22,1
10,1,512,8,2048,1,32,5.688840808121094,64,False,1024,RS,2048,False,False,True,False,4,16,1,True,32,13,1,1,10,26,16,5.6889780000000005,1,0.00022135040094846414,8,True,2,1,64,5.689115191878907,29,1
11,32,8,16,256,16,8,3.2971496219013954,1,False,128,RS,512,True,False,True,False,16,1,1,True,8,5,64,2,10,28,4,3.2972489999999994,8,0.0001603402631905122,8,True,25,1,4,3.2973483780986035,28,1
12,16,8,32,16,4,2048,2.0740185413128844,32,False,1024,RS,1,False,True,False,True,32,512,7,True,1,1,128,4,10,1,4,2.074209,8,0.0003072930197710226,4,True,1,1,2048,2.074399458687116,1,7
13,64,1,16,256,2,32,9.27553799714497,1,False,16,RS,512,True,True,False,False,8,4,29,True,8,19,32,16,10,1,2,9.275862,2,0.0005227580702391714,8,True,1,14,256,9.276186002855031,1,30
14,16,2,512,16,16,16,4.210618537568579,1,False,1,RS,512,True,False,False,False,2,2,1,False,32,15,1,8,10,13,16,4.210693999999999,8,0.00012175385004174245,4,True,1,8,1024,4.210769462431419,11,1
15,4,16,2,32,8,1,2.1379522186879325,32,False,256,RS,8,False,False,True,False,4,16,1,True,16,17,32,2,10,28,8,2.1382109999999996,2,0.0004175272446199832,4,True,1,3,512,2.1384697813120668,17,1
16,8,256,2048,1024,1,512,2.9208128612896926,1,False,2048,RS,2048,True,True,True,True,1,2,6,False,8,22,2,2,10,1,1,2.921373,1,0.0009037483056692619,1,True,1,14,8,2.9219331387103074,1,12
17,8,2,32,512,64,64,1.8585506707277446,16,False,128,RS,1,True,True,False,True,1,16,1,False,2,6,1,8,10,19,16,1.858807,8,0.0004135710338019605,1,True,1,26,1024,1.8590633292722556,10,1
18,1,32,128,32,32,128,3.4578817803187656,1024,False,2048,RS,1024,False,False,False,True,16,8,7,True,1,27,512,16,10,1,4,3.458083,2,0.0003246552017140195,1,True,8,1,2048,3.458284219681234,24,1
19,32,1024,64,1,4,32,1.8579211360327599,64,False,1024,RS,128,True,False,False,True,2,32,1,True,1,6,8,4,10,3,1,1.8583100000000001,1,0.0006274073636800791,4,True,1,1,64,1.8586988639672404,2,1
