id,RT1_J,T1_Ja,RT1_I,RT1_T,mean_confidence_interval_inf,T1_I,T1_J,technique,T1_T,SCR,T1_Ia,U1_T,T1_Ta,U1_J,U1_I,VEC,baseline,runs,cost_std,cost_mean,correct_result,OMP,mean_confidence_interval_sup
1,2,128,8,1,0.5652210134790048,8,128,DLMT,256,True,16,30,1024,1,30,False,False,10,2.079158483617595e-05,0.5652339,True,False,0.5652467865209951
2,2,512,1,2,3.909182955476299,512,512,DLMT,2,True,2048,5,32,23,1,True,False,10,4.686149805548537e-05,3.909212,True,False,3.9092410445237014
3,8,1,2,2,1.0800981249461516,2048,1,DLMT,128,True,2048,30,256,20,1,True,False,10,0.0024667429943145483,1.081627,True,True,1.0831558750538481
4,2,1,2,8,inf,32,256,DLMT,128,False,64,22,2048,18,1,True,False,1,inf,inf,False,False,inf
5,2,1,2,2,1.0735796924363,1,1,DLMT,512,True,8,1,512,11,3,True,False,10,2.1470910553572527e-05,1.073593,True,False,1.0736063075637001
6,1,4,32,2,2.9559832335249676,4,2,DLMT,128,False,16,25,128,30,1,False,False,10,0.7756173273728483,3.4367069999999997,True,True,3.917430766475032
7,2,2,16,1,0.15839556715373068,2,2,DLMT,1,True,1024,1,16,13,12,True,False,10,0.022422949720320034,0.1722932,True,True,0.18619083284626933
8,32,16,1,2,1.4404114154152432,2048,16,DLMT,1,False,1,1,32,24,30,True,False,10,2.6758176320553536e-05,1.4404280000000003,True,False,1.4404445845847573
9,1,16,2,8,0.7771628203614056,64,8,DLMT,1,True,128,21,16,4,1,False,False,10,2.09418241803364e-05,0.7771758,True,False,0.7771887796385943
10,1,1,1,16,0.9802214681384215,512,256,DLMT,1,True,1,19,512,22,1,True,False,10,0.0031883635049974905,0.9821976000000001,True,True,0.9841737318615787
11,1,1,2,32,1.06427722519039,16,32,DLMT,32,True,1,1,64,19,8,True,False,10,0.003747649930289632,1.0666,True,True,1.06892277480961
12,4,16,1,16,2.5770662957920543,1,4,DLMT,4,False,1,1,1,17,15,False,False,10,0.00012698425099199026,2.577145,True,False,2.5772237042079453
13,1,256,16,2,0.2090452126093827,512,1,DLMT,1,False,1,4,8,1,2,False,False,10,0.012866491299495752,0.2170198,True,True,0.22499438739061733
14,1,1024,32,2,1.8553321255016257,4,128,DLMT,512,False,1024,1,512,22,26,False,False,10,2.5612496949687653e-05,1.855348,True,False,1.8553638744983743
15,1,1,16,4,3.126709861981462,4,2,DLMT,2,True,2048,23,4,15,1,True,False,10,4.0558599581354896e-05,3.126735,True,False,3.126760138018538
16,1,2048,8,8,1.5419893852679354,1024,32,DLMT,2,False,2048,17,128,1,8,True,False,10,2.1885422503120657,2.898437,True,True,4.254884614732065
17,8,512,1,8,0.428112395422979,32,4,DLMT,1,False,2048,27,1,1,6,False,False,10,0.11089037664833681,0.49684169999999994,True,True,0.5655710045770208
18,1,32,8,2,3.9239813939865176,128,1,DLMT,128,False,512,25,128,1,23,True,False,10,1.660245004202994,4.952992999999999,True,True,5.982004606013481
19,32,512,2,1,1.7184602606234105,1,1,DLMT,8,True,8,21,16,1,1,True,False,10,0.023394410443522643,1.7329599999999998,True,False,1.7474597393765892
20,32,2,1,2,2.7082215613555447,64,1,DLMT,2,False,2048,1,128,9,29,False,False,10,6.363175307975398e-05,2.7082610000000003,True,False,2.708300438644456
21,2,2048,4,4,1.084570518620525,64,256,DLMT,2048,True,1,1,1,25,6,False,False,10,0.0033470442184112496,1.086645,True,True,1.0887194813794752
22,16,2048,4,1,0.4970947111418765,256,256,DLMT,1024,True,512,11,1,1,13,False,False,10,3.531628519536188e-05,0.4971166,True,False,0.49713848885812356
23,2,64,2,32,3.2418339442268307,4,16,DLMT,2,False,128,23,128,17,1,False,False,10,0.0003986088308103229,3.2420809999999998,True,False,3.242328055773169
24,1,4,4,4,1.490350604906095,1,1,DLMT,8,True,2048,7,1,27,1,False,False,10,0.008367919753439347,1.495537,True,False,1.5007233950939047
25,32,2048,1,2,1.1957100688161835,4,2048,DLMT,2048,True,32,8,1,1,20,True,False,10,7.088018058664679e-05,1.195754,True,False,1.1957979311838165
26,2,2048,1,32,inf,128,4,DLMT,256,False,1024,18,1,30,1,True,False,1,inf,inf,False,False,inf
27,1,1024,1,1,1.789728804734531,4,128,DLMT,16,False,1,1,128,6,1,True,False,10,0.004085536562068669,1.7922609999999999,True,False,1.7947931952654688
28,1,128,4,2,1.6538519188078202,1024,8,DLMT,2,True,1024,1,256,30,16,False,False,10,0.0003631542372050847,1.6540770000000002,True,False,1.6543020811921803
29,1,1,1,2,0.5470392035163394,1024,2048,DLMT,2048,True,1024,20,2048,1,8,True,False,10,0.007239323082305413,0.5515261,True,True,0.5560129964836606
30,2,2048,4,2,0.21207977843973186,1024,2048,DLMT,1,False,2048,27,16,8,1,False,False,10,0.02910368851004972,0.23011810000000002,True,True,0.24815642156026818
31,32,1,2,1,2.372208920117283,1,32,DLMT,2,False,256,30,128,30,1,True,False,10,0.9775023165803752,2.97806,True,True,3.5839110798827174
32,1,2048,1,4,0.5883322041585931,512,1,DLMT,1,True,512,12,1024,1,12,False,False,10,0.005182674390698316,0.5915444,True,True,0.5947565958414068
33,1,1024,32,1,0.13455180839641565,8,2,DLMT,2,False,64,1,2,14,29,True,False,10,0.017555144905126815,0.1454324,True,True,0.15631299160358433
34,2,64,4,1,1.1757252491340036,8,64,DLMT,2048,False,8,7,2048,25,1,False,False,10,0.0031232113281044575,1.177661,True,True,1.1795967508659966
35,4,4,2,1,1.081150359801764,8,4,DLMT,32,True,1024,1,1024,1,2,True,False,10,3.3301651610684225e-05,1.0811709999999999,True,False,1.0811916401982358
36,2,2048,4,1,0.12073272774190966,1,32,DLMT,8,True,1,21,1,1,29,False,False,10,0.007614085321954303,0.1254519,True,True,0.13017107225809035
37,8,64,8,4,1.1874858667787254,1,32,DLMT,8,True,32,1,2048,12,1,True,False,10,2.1189620100398726e-05,1.187499,True,False,1.1875121332212748
38,4,256,4,16,inf,128,4,DLMT,16,False,1,9,32,1,29,False,False,1,inf,inf,False,False,inf
39,2,1,4,2,0.13029297384701582,16,2048,DLMT,1,False,128,12,2,1,5,True,False,10,0.019333207800052217,0.1422756,True,True,0.15425822615298418
40,16,512,1,1,inf,128,8,DLMT,64,False,512,24,128,23,1,False,False,1,inf,inf,False,False,inf
41,4,1,2,2,2.3297579834763504,4,32,DLMT,2,False,4,15,8,1,23,True,False,10,0.033407845246289064,2.350464,True,True,2.37117001652365
42,2,128,2,32,1.0742610219762607,8,1,DLMT,8,True,128,30,8,1,18,False,False,10,2.4166091947209634e-05,1.0742759999999998,True,False,1.0742909780237389
43,16,2048,4,1,1.086644876095229,2,2048,DLMT,1,True,2,1,2048,29,27,True,False,10,0.00010991360243389017,1.0867130000000003,True,False,1.0867811239047716
44,2,512,16,1,0.6113655430604549,2048,128,DLMT,4,True,2048,2,1024,1,1,False,False,10,6.73721752654584e-05,0.6114073,True,False,0.6114490569395451
45,32,256,1,1,2.3367801628040423,32,4,DLMT,128,False,2048,1,1,11,17,True,False,10,0.6520136757039686,2.7408949999999996,True,True,3.145009837195957
46,2,8,32,2,inf,128,1,DLMT,64,False,1,30,1024,1,6,True,False,1,inf,inf,False,False,inf
47,8,64,2,8,1.7402510380907066,2,1,DLMT,16,False,256,19,256,30,1,True,False,10,0.0018473234692386708,1.7413960000000004,True,True,1.7425409619092942
