id,T1_I1,T1_I2a,RT2_I2,RT2_I1,mean_confidence_interval_inf,baseline,technique,U1_I2,U1_I1,T2_I2a,runs,T1_I1a,U2_I2,U2_I1,RT1_I2,RT1_I1,cost_std,cost_mean,correct_result,T2_I2,T2_I1,T1_I2,mean_confidence_interval_sup,T2_I1a
1,32,1024,1,8,1.5096086040070393,False,DLMT,1,2,512,35,64,1,16,8,8,8.87307323149282e-05,1.509638,True,512,512,512,1.5096673959929607,512
2,512,128,8,8,1.4589677537097157,False,DLMT,17,1,1024,35,1,2,1,1,8,0.00011113294116618277,1.4590045714285713,True,1,256,1,1.459041389147427,256
3,512,1,8,1,1.5478618020944244,False,DLMT,2,1,64,35,1024,27,1,1,32,0.0004982126420863887,1.5480268571428573,True,1,32,512,1.5481919121912902,1
4,32,2048,1,1,1.4403657337782076,False,DLMT,22,1,2048,35,256,24,1,1,1,8.359572296449688e-05,1.4403934285714286,True,256,128,1,1.4404211233646496,2048
5,1,2048,32,1,1.2590516164516534,False,DLMT,1,11,64,35,1,28,1,1,32,7.532568740923262e-05,1.2590765714285714,True,32,32,128,1.2591015264054894,2048
6,64,512,1,1,1.0923758508623174,False,DLMT,1,15,1024,35,512,2,1,1,8,4.098381960467582e-05,1.0923894285714286,True,512,1,16,1.0924030062805399,1
7,1,2048,8,8,1.5316719183528424,False,DLMT,1,6,256,35,256,1,7,8,1,8.821310004988808e-05,1.5317011428571428,True,16,1,1,1.531730367361443,1
8,16,1024,8,1,1.6539399431016961,False,DLMT,1,28,2048,35,1,21,1,1,32,0.00013902106726268787,1.653986,True,512,32,64,1.6540320568983038,1
9,32,256,8,8,1.5053522302894877,False,DLMT,1,20,512,35,2048,23,1,32,1,0.0001045198936244473,1.5053868571428572,True,512,128,64,1.5054214839962268,512
10,16,512,32,1,1.5874419561918,False,DLMT,17,1,2048,35,1024,20,1,8,8,9.413581157247526e-05,1.587473142857143,True,64,64,512,1.5875043295224858,512
11,512,1,8,1,1.5030311003792156,False,DLMT,14,1,512,35,1,21,1,1,1,4.066187102314957e-05,1.5030445714285712,True,128,512,64,1.5030580424779267,2048
12,32,128,1,32,1.5670865839355756,False,DLMT,30,1,64,35,1,1,12,1,32,0.0003828759057236152,1.567213428571429,True,1,128,1,1.5673402732072823,128
13,64,2048,32,1,1.4912507734366396,False,DLMT,1,26,2048,35,2048,1,16,1,32,0.00010201800561364511,1.4912845714285714,True,1,512,64,1.4913183694205032,512
14,1,256,1,1,1.4773018595189693,False,DLMT,1,1,256,35,1024,30,1,32,1,7.027990684485416e-05,1.477325142857143,True,32,256,1,1.4773484261953167,256
15,256,2048,8,1,1.4772449045657061,False,DLMT,1,8,2048,35,1024,1,29,8,1,7.402481657786728e-05,1.4772694285714285,True,1,128,256,1.477293952577151,256
16,16,1,1,1,1.128509847640688,False,DLMT,19,1,1,35,128,11,1,8,8,5.048014360081419e-05,1.1285265714285713,True,1,1,64,1.1285432952164545,256
17,1,1024,1,8,1.4851860955724534,False,DLMT,1,21,256,35,128,26,1,1,1,0.00017995691094236497,1.485245714285714,True,256,256,512,1.4853053329989747,256
18,512,1,1,1,1.503920893627453,False,DLMT,1,28,1024,35,512,1,13,32,1,0.00014650095771782544,1.5039694285714287,True,256,32,32,1.5040179635154043,128
19,256,512,1,1,1.5810894453435156,False,DLMT,3,1,128,35,1024,1,29,1,32,0.00011551340588336783,1.5811277142857143,True,128,512,64,1.581165983227913,1
20,64,1024,1,8,1.6221570249986514,False,DLMT,16,1,1,35,512,2,1,32,1,8.142305745740905e-05,1.622184,True,64,256,32,1.6222109750013487,1
21,64,128,8,1,1.5040266985423922,False,DLMT,30,1,128,35,1,12,1,8,8,0.0005472518354730049,1.5042080000000002,True,128,64,64,1.5043893014576082,256
22,64,256,1,8,1.4841374300790107,False,DLMT,4,1,1024,35,1,4,1,8,1,9.486144568553377e-05,1.4841688571428573,True,1,1,32,1.484200284206704,2048
23,256,2048,1,32,1.5216541565895332,False,DLMT,1,1,1,35,256,12,1,1,8,7.714497351595098e-05,1.5216797142857144,True,512,32,128,1.5217052719818955,1024
