id,SCREP,correct_result,T1_Ja,technique,mean_confidence_interval_inf,T1_I,T1_J,T1_Ia,U_K,U_J,U_I,T1_K,T1_Ka,runs,cost_mean,OMP,PAR,VEC,cost_std,mean_confidence_interval_sup,baseline
44,False,True,1,RS,0.20780468784679568,16,1024,128,4,1,12,2,256,10,0.2169422,True,False,True,0.014742796693979055,0.22607971215320433,False
45,False,True,2048,RS,1.3515126867353136,16,512,32,3,12,1,256,1,10,1.351757,False,False,False,0.0003941839672031529,1.3520013132646866,False
46,False,True,2048,RS,0.08617058962276268,4,512,1,8,6,1,2,32,10,0.09186182,True,False,True,0.00918243948499526,0.09755305037723731,False
47,True,True,128,RS,1.5566258664646189,8,1,128,1,5,14,4,8,10,1.566626,False,False,False,0.016134581618374867,1.5766261335353813,False
48,False,True,4,RS,2.22706892032077,16,4,128,1,3,2,1,64,10,2.227265,False,True,False,0.00031636213427024617,2.2274610796792302,False
49,False,True,64,RS,0.13420913153280314,32,32,32,5,14,1,32,64,10,0.13603059999999997,True,True,False,0.0029388239212310733,0.1378520684671968,False
50,True,True,1,RS,1.1424371503542161,128,4,1024,17,3,1,32,2048,10,1.144309,True,True,False,0.0030201107595583102,1.146180849645784,False
51,True,True,2048,RS,2.832152883280909,2,2,512,15,1,8,2,128,10,2.8324070000000003,False,False,False,0.0004100012195104407,2.8326611167190916,False
52,False,True,8,RS,2.1314074290734895,8,1,128,17,2,1,32,64,10,2.1316420000000003,False,False,False,0.00037846532205736,2.131876570926511,False
53,True,True,2048,RS,1.44987720114255,1024,32,1024,6,4,1,1,256,10,1.4501,False,True,False,0.0003594718347798179,1.4503227988574499,False
54,True,True,1,RS,0.11944410693040113,16,1,32,16,5,1,2,2,10,0.1262279,True,True,False,0.010945220138946497,0.1330116930695989,False
55,False,True,256,RS,2.4452043529939247,1024,4,2048,1,7,3,256,512,10,2.445552,False,False,False,0.0005609064093054967,2.4458996470060757,False
56,True,True,1,RS,2.6673101178414385,2,512,4,5,1,22,32,32,10,2.667543,False,True,True,0.0003757406020115928,2.667775882158562,False
57,False,True,8,RS,3.134436375625534,8,4,8,9,1,13,32,256,10,3.134706,False,False,False,0.0004350218385322782,3.134975624374466,False
58,True,True,2048,RS,0.2028978376534611,1,2,16,2,1,2,64,1024,10,0.2051463,True,False,True,0.0036277514812897566,0.20739476234653892,False
59,True,True,128,RS,2.744121045662521,2,4,128,1,5,5,64,1024,10,2.7443769999999996,False,True,True,0.0004129661003036851,2.744632954337478,False
60,True,True,128,RS,1.5714587891111274,2,16,1,2,5,1,1,256,10,1.571711,False,False,True,0.000406926283250391,1.5719632108888728,False
61,True,True,256,RS,2.644786507735914,4,8,128,7,1,16,32,1024,10,2.6450249999999995,False,True,False,0.0003847921516870937,2.645263492264085,False
62,True,True,64,RS,0.17972342751135348,2,64,256,1,8,7,8,128,10,0.1890909,True,False,False,0.015113823119581619,0.19845837248864653,False
63,True,True,1024,RS,1.132271229291574,1,1,64,1,5,13,16,512,10,1.1323640000000001,False,False,False,0.0001496796579365297,1.1324567707084263,False
64,False,True,256,RS,1.5008611439830033,32,128,2048,3,27,1,2048,2048,10,1.50204,True,False,True,0.0019020094636988483,1.5032188560169968,False
65,True,True,1024,RS,3.3167354576248034,8,64,1024,2,1,9,4,2048,10,3.3170520000000003,False,False,False,0.0005107210588961057,3.3173685423751973,False
66,True,True,1024,RS,1.577852540215468,2,256,1,1,3,6,1,32,10,1.5789300000000002,False,False,True,0.0017384130694400458,1.5800074597845324,False
67,False,True,128,RS,0.4429915238645396,32,64,512,1,14,9,8,256,10,0.44745739999999995,True,False,False,0.007205408082822232,0.4519232761354603,False
68,True,True,1024,RS,1.8450425720764196,256,4,256,2,3,1,256,1024,10,1.845273,False,True,True,0.00037178084942610004,1.8455034279235802,False
69,False,True,256,RS,1.9770190449595801,32,64,1,12,8,1,64,2048,10,1.9773109999999998,False,False,True,0.00047105095265798157,1.9776029550404195,False
70,True,True,256,RS,0.323833849489871,1,256,2,1,1,28,16,64,10,0.3302777,True,False,False,0.01039674436590609,0.33672155051012903,False
71,False,True,1024,RS,0.20067448195266013,32,2,128,17,2,1,256,1,10,0.21647690000000003,True,False,False,0.025496199910771015,0.23227931804733992,False
72,False,True,32,RS,2.5528481146152115,4,32,16,20,1,2,8,1,10,2.5531059999999997,False,True,True,0.00041608172274204053,2.5533638853847878,False
73,False,True,2048,RS,0.09275108858575418,1,16,16,1,3,12,512,1,10,0.10075562,True,True,False,0.012914804083670803,0.10876015141424583,False
74,False,True,32,RS,1.9876587788034832,8,16,2048,19,4,1,4,1,10,1.9880849999999999,False,True,False,0.0006876808852949158,1.9885112211965166,False
75,True,True,2048,RS,0.24844455434333038,4,32,256,1,29,1,16,16,10,0.2569289,True,False,True,0.013688953951635602,0.2654132456566697,False
76,True,True,1024,RS,1.9926009016606647,2,8,1024,13,5,1,1024,2048,10,1.992877,False,False,False,0.00044546717050753085,1.9931530983393353,False
77,False,True,128,RS,1.0354678359991965,512,1,1024,9,1,13,16,64,10,1.037938,True,False,True,0.003985453048274435,1.0404081640008036,False
78,True,True,1024,RS,0.25410567021601355,2,512,64,19,1,2,4,8,10,0.2738602,True,False,False,0.03187268170016448,0.29361472978398645,False
79,True,True,16,RS,2.529768834743498,4,1,32,4,1,7,2,1,10,2.530003,False,True,False,0.0003778107992103619,2.5302371652565014,False
80,True,True,1024,RS,0.3060514473864776,4,1024,128,19,1,1,4,4,10,0.35143409999999997,True,False,True,0.07322203349190733,0.39681675261352234,False
