id,correct_result,runs,mean_confidence_interval_sup,RT_K,T1_I,T1_J,T1_K,U_K,U_J,U_I,technique,U1_I,T2_K,T2_J,T2_I,mean_confidence_interval_inf,cost_std,RT_I,cost_mean,RT_J
1,True,35,0.3341783164660957,1,1,256,256,1,17,24,SIMA,26,256,512,256,0.3335703121053328,0.000917619490745443,32,0.33387431428571424,1
2,True,35,0.2607776268064224,32,512,64,16,29,24,1,SIMA,11,512,1,1024,0.2606824303364346,0.00014367353583022378,1,0.2607300285714285,1
3,True,35,0.11804659251968679,1,256,64,128,23,10,1,SIMA,12,512,512,1024,0.11796609319459893,0.00012149213798364409,8,0.11800634285714286,1
4,True,35,0.29726116464362745,1,64,1,64,25,1,20,SIMA,23,1,64,1,0.2968256353563726,0.000657314632207654,32,0.2970434,1
5,True,35,0.17563705926466236,1,256,128,512,19,1,26,SIMA,9,1,512,512,0.17549654073533763,0.00021207502715514786,1,0.1755668,1
6,True,35,0.12692978616571265,1,128,256,256,1,21,5,SIMA,1,2048,256,128,0.12690758526285878,3.3506307660816515e-05,1,0.12691868571428572,8
7,True,35,0.23355379891978462,8,16,64,64,5,12,1,SIMA,27,256,512,64,0.23352820108021538,3.8633072434304825e-05,1,0.233541,8
8,True,35,0.11144112607361611,8,256,256,128,19,1,10,SIMA,21,128,1,512,0.11141853106924102,3.410109819286193e-05,1,0.11142982857142857,8
9,True,35,0.10876921803235885,1,32,64,1,1,28,9,SIMA,12,1,1024,256,0.10858209625335542,0.0002824101316330201,8,0.10867565714285714,1
10,True,35,0.2102305669349017,1,128,32,256,1,11,28,SIMA,15,512,128,1024,0.20981749020795545,0.0006234285151237352,1,0.21002402857142857,8
11,True,35,0.11926365218298153,8,256,64,256,6,1,4,SIMA,3,256,1,1,0.11912760495987558,0.00020532678980650598,1,0.11919562857142856,8
12,True,35,0.12447153925377409,8,256,64,256,7,1,3,SIMA,4,256,64,1,0.1244466321747973,3.759055461041265e-05,1,0.1244590857142857,8
13,True,35,0.13791052030744955,8,128,32,256,6,1,5,SIMA,3,256,64,1,0.13788302254969326,4.150048930127032e-05,1,0.1378967714285714,1
14,True,35,0.12446321815292322,8,512,32,256,6,1,3,SIMA,3,256,1,1,0.12442946756136253,5.093746466131314e-05,8,0.12444634285714287,1
15,True,35,0.11800131279852719,1,512,32,128,5,1,3,SIMA,4,128,64,1,0.11788560148718707,0.000174635185925591,8,0.11794345714285713,8
16,True,35,0.12693053483814895,8,256,16,64,5,1,2,SIMA,5,256,64,1,0.1269007223047082,4.49940222787015e-05,8,0.12691562857142857,1
17,True,35,0.12638645804856913,8,512,32,128,6,1,3,SIMA,3,256,128,1,0.12636222766571653,3.6569263328760715e-05,1,0.12637434285714283,8
18,True,35,0.12617632554182898,1,512,32,64,4,1,3,SIMA,5,256,64,1,0.1261434458867424,4.962301967467223e-05,1,0.12615988571428569,8
19,True,35,0.12581146548796032,1,256,16,64,5,1,4,SIMA,3,128,64,1,0.12578333451203969,4.2456162265160836e-05,1,0.1257974,8
20,True,35,0.26119206232069475,1,256,16,64,6,1,4,SIMA,4,128,1,1,0.2609507948221625,0.00036412857114833936,32,0.2610714285714286,1
21,True,35,0.12458816548909372,1,512,64,128,4,1,4,SIMA,4,256,64,1,0.12455783451090634,4.577647555552682e-05,1,0.12457300000000003,32
22,True,35,0.14160679985540486,1,512,64,128,5,1,2,SIMA,3,128,64,1,0.14157920014459519,4.1654360087337665e-05,1,0.14159300000000002,8
23,True,35,0.25909962776895545,1,256,16,64,4,1,2,SIMA,4,256,64,1,0.25885357223104466,0.0003713548322407704,32,0.25897660000000006,1
24,True,35,0.2524375257527854,1,512,16,64,5,1,3,SIMA,4,64,1,1,0.2522108742472146,0.0003420696503846646,32,0.2523242,1
25,True,35,0.13495925614869989,1,512,64,64,6,1,2,SIMA,5,64,128,1,0.134928286708443,4.674006278758846e-05,8,0.13494377142857145,1
26,True,35,0.13038129702042875,8,512,16,64,6,1,3,SIMA,3,128,1,1,0.13036430297957122,2.5647946172297416e-05,1,0.13037279999999998,8
27,True,35,0.17859935866321866,1,1,1,1,1,1,1,SIMA,1,1,1,1,0.1784298413367814,0.0002558409327241112,1,0.17851460000000002,1
