id,T5_I,T1_Ja,technique,RT1_J,RT7_I,VEC10,RT7_J,T5_J,cost_std,VEC9,T3_J,T3_I,RT1_I,VEC6,mean_confidence_interval_inf,T1_I,T1_J,T5_Ia,T3_Ja,VEC7,VEC4,VEC5,T7_J,VEC3,T7_I,VEC2,T7_Ia,VEC8,U10_I,U6_I,T1_Ia,VEC1,U5_J,U5_I,U1_J,U1_I,U8_I,U7_I,U7_J,baseline,runs,mean_confidence_interval_sup,U2_I,cost_mean,U9_I,RT3_I,RT3_J,correct_result,T7_Ja,T5_Ja,U4_I,T3_Ia,SCR,U3_I,RT5_J,RT5_I,U3_J
1,16,4,DLMT,2,8,True,16,2,0.00019754493159789617,False,1,1,32,False,2.668453562632738,512,2,32,8,False,True,False,256,False,1,True,1,True,1,1,1,True,1,4,16,1,12,1,4,False,10,2.6686984373672606,1,2.6685759999999994,8,16,4,True,2048,2048,8,128,True,16,8,1,1
2,2048,64,DLMT,8,8,True,8,512,0.0001516212386178428,True,32,8,4,True,3.021065025909513,1024,64,1,512,False,False,False,16,True,2,True,512,False,12,16,1,True,1,12,1,1,1,12,1,False,10,3.021252974090487,1,3.021159,4,1,16,True,16,512,8,2048,False,8,2,32,1
3,512,2048,DLMT,8,1,False,2,256,0.0003154932645873688,True,2,1024,4,True,1.9448664588418834,16,128,1,128,False,True,False,4,False,32,True,2048,False,1,16,32,True,1,4,12,1,12,1,1,False,10,1.9452575411581168,8,1.945062,16,8,1,True,64,1,16,1,True,12,16,8,1
4,1,1,DLMT,32,2,False,1,8,0.0001398892419023265,True,1024,2,4,False,3.779184297342796,1,4,2048,1024,True,False,True,32,True,512,False,1024,False,8,1,16,True,12,1,1,12,16,12,1,False,10,3.779357702657204,12,3.779271,8,1,4,True,64,16,4,64,False,1,2,8,4
5,512,512,DLMT,2,32,True,2,1,0.0016493283481465316,False,1,1,4,False,2.33868375448318,2,128,1024,128,True,True,True,4,False,1,False,2048,False,4,8,2048,False,1,1,1,16,16,12,1,False,10,2.340728245516821,1,2.3397060000000005,4,16,8,True,1024,8,8,512,True,4,1,1,1
6,64,2048,DLMT,2,1,True,32,8,0.00023476797055819833,True,1,32,2,False,1.8768924919781038,2,1024,256,1024,True,False,True,1024,True,8,True,16,False,12,4,16,True,1,8,1,16,12,8,1,False,10,1.8771835080218962,12,1.877038,4,4,2,True,2048,2048,12,2048,True,1,32,1,12
7,1,8,DLMT,8,32,True,1,4,0.00021089333796983758,False,2,128,2,True,4.07863128935678,16,8,16,16,False,True,True,128,True,2,True,1024,True,8,16,2048,False,16,1,1,1,16,4,1,False,10,4.0788927106432205,8,4.078762,16,1,4,True,1,8,8,256,True,1,32,1,16
8,2048,2048,DLMT,32,4,True,4,1024,0.0013188028662389092,False,2,1,1,True,2.3578656125349156,64,128,2048,128,True,False,True,128,False,128,False,1,True,12,4,64,True,1,1,16,1,8,1,1,False,10,2.3595003874650837,16,2.3586829999999996,16,32,2,True,256,1024,16,2,True,1,4,4,4
9,16,64,DLMT,2,8,False,8,1024,0.0002015167486836855,False,128,8,32,True,3.1319261009202393,1,4,16,128,True,True,False,32,False,64,True,64,True,12,16,4,False,4,1,16,1,1,1,16,False,10,3.13217589907976,8,3.1320509999999997,12,16,4,True,128,1,4,8,False,1,4,1,16
10,4,1,DLMT,1,8,False,8,2048,0.0010894402232339538,True,1,8,16,True,3.2726647703616467,32,1024,128,32,False,False,True,32,False,64,False,256,False,1,16,1,False,12,1,12,1,16,16,1,False,10,3.2740152296383527,12,3.2733399999999997,16,2,1,True,32,1,8,128,False,4,4,2,1
11,1,256,DLMT,32,8,True,8,1,0.00019168985367002382,True,128,128,2,False,4.080496191580952,128,256,1,2048,True,False,True,4,False,4,True,2048,True,8,12,128,True,8,1,4,1,12,1,12,False,10,4.080733808419048,8,4.080615,16,32,4,True,16,64,4,1,False,8,2,4,1
12,16,2048,DLMT,8,32,False,2,32,0.00020898803793522876,True,8,2048,2,True,3.0268684702522766,1,32,2048,1024,False,False,True,8,False,8,True,1,True,4,1,2048,False,4,1,1,8,1,16,1,False,10,3.027127529747723,1,3.026998,4,1,1,True,512,1024,16,1,False,4,1,8,1
13,4,128,DLMT,16,16,True,8,64,0.00013076696830619053,False,1,16,2,True,3.011488951282655,1,1,2048,1,True,True,False,16,False,8,True,1,True,4,12,1,False,12,1,1,4,1,4,1,False,10,3.011651048717346,1,3.0115700000000003,4,32,1,True,512,128,16,1024,False,12,2,8,1
14,2,512,DLMT,2,2,True,4,4,0.00022843817544364886,False,512,16,16,True,2.1952544151536717,1024,8,1,2048,False,True,True,64,False,64,True,1024,False,16,4,1024,False,1,4,16,1,1,1,1,False,10,2.1955375848463294,12,2.1953960000000006,8,1,8,True,2048,256,4,128,True,1,1,4,1
15,32,1024,DLMT,4,16,False,8,4,0.0007545886296520079,False,16,32,32,False,2.212568309715908,4,1,256,64,False,False,False,4,False,16,True,2048,True,12,8,128,False,16,1,8,1,1,1,12,False,10,2.2135036902840914,16,2.213036,12,8,8,True,64,128,4,2048,True,16,4,4,1
16,64,1,DLMT,2,8,True,4,32,0.00014806755215099966,False,64,64,4,False,3.353474228466731,1,2048,2048,128,True,False,True,16,False,8,True,512,True,8,16,64,True,1,12,1,8,16,8,1,False,10,3.3536577715332685,16,3.353566,4,2,1,True,1,2048,4,2048,False,12,2,32,1
17,2048,512,DLMT,16,16,False,4,1,0.00038206805676478276,False,16,4,8,False,1.9052851961164148,8,256,2048,16,False,False,False,128,True,1,True,64,False,16,8,2048,True,8,1,1,1,4,16,1,False,10,1.905758803883585,16,1.905522,16,2,32,True,256,2048,4,8,True,16,1,1,1
18,4,512,DLMT,2,1,True,4,1,0.00012940247292831102,True,4,1,32,True,5.484594796990112,8,16,8,2048,False,False,False,2,False,256,False,512,False,4,1,16,False,1,16,1,8,4,1,8,False,10,5.484755203009889,8,5.484675,4,1,1,True,2048,1024,12,2048,False,12,2,4,1
19,32,1024,DLMT,2,2,False,2,1,0.0006132731854565174,False,32,4,1,True,1.7013458963262085,16,128,1,32,False,True,False,4,True,1,True,8,True,12,12,256,False,8,1,16,1,1,12,1,False,10,1.7021061036737917,16,1.701726,16,4,1,True,4,8,16,4,True,8,16,4,1
20,1,256,DLMT,2,8,False,4,4,0.000245904452989381,False,16,4,32,True,3.0537065896416156,2,32,64,128,True,True,True,512,True,64,True,512,True,8,8,1,False,1,8,1,1,8,16,1,False,10,3.0540114103583846,12,3.053859,4,8,16,True,2048,1024,16,1024,False,4,32,2,1
21,2,64,DLMT,4,8,True,4,16,0.00019692638218378876,False,128,2048,4,True,2.8699279460065927,2,64,1,512,False,False,True,128,False,64,False,256,True,1,4,4,True,12,1,1,16,12,1,12,False,10,2.8701720539934072,12,2.87005,1,4,8,True,1024,16,12,1,False,16,2,2,1
22,4,512,DLMT,2,2,False,16,512,0.00011419281938892217,True,128,1,16,True,1.7330592238578177,2,16,64,512,True,False,False,128,False,256,False,2048,False,4,8,32,True,8,1,12,1,8,1,4,False,10,1.733200776142182,8,1.7331299999999998,12,4,2,True,1,512,1,1,True,16,32,4,1
23,1,1,DLMT,1,1,False,4,4,0.0011055785815581266,True,8,1,4,True,2.471350767887328,32,1,1024,8,True,False,False,4,True,2048,True,1,True,8,4,256,True,1,16,1,4,1,1,4,False,10,2.472721232112672,4,2.472036,16,4,32,True,16,2048,16,2,True,1,4,4,1
24,128,2048,DLMT,4,1,True,2,2048,0.00022410042391749345,False,1,64,8,False,1.9636741036705185,1,32,1024,1024,True,True,True,1,True,1,False,2048,True,1,1,2048,False,1,12,4,1,8,4,1,False,10,1.9639518963294815,4,1.963813,1,32,1,True,64,1,1,512,True,8,2,32,1
25,2,32,DLMT,16,8,False,1,256,0.0008871758562991163,True,8,8,4,True,4.4501831328114845,1024,2,64,16,True,True,False,1024,True,1,True,16,False,16,1,1024,False,1,4,1,16,16,1,8,False,10,4.451282867188515,1,4.450733,1,8,2,True,1024,1,12,128,False,4,1,32,1
26,64,512,DLMT,4,2,False,16,1,7.955501241283018e-05,True,8,2048,8,False,2.8344116921985116,1,32,1,512,True,True,True,32,False,2,True,4,True,4,4,64,False,12,1,16,1,12,1,1,False,10,2.8345103078014886,1,2.834461,1,2,1,True,1,16,4,2048,False,1,4,32,16
27,16,32,DLMT,1,4,True,32,1,0.00022311432047264894,False,8,2,2,True,2.280411714852535,256,32,1024,512,False,False,True,8,False,2,True,128,False,16,16,256,True,1,4,1,4,8,1,4,False,10,2.280688285147465,16,2.28055,12,1,8,True,256,1,12,64,True,1,4,32,1
28,4,2048,DLMT,16,1,False,4,8,0.00028496315551319916,False,16,8,2,False,2.2058393812518227,1,256,64,1,True,True,False,256,False,128,False,2048,False,4,1,32,True,16,1,1,16,8,1,8,False,10,2.2061926187481764,1,2.2060159999999995,8,4,1,True,1024,128,4,256,True,8,32,2,1
29,4,16,DLMT,4,32,True,2,16,0.00010780074211262721,True,4,32,16,True,4.475206185635559,8,4,16,1024,False,False,True,2,False,1,False,64,False,8,8,512,True,4,1,1,16,12,1,4,False,10,4.47533981436444,1,4.475273,16,16,8,True,2,1,4,64,False,8,1,2,1
30,1,512,DLMT,4,1,True,2,1,0.0013622569507989377,False,128,4,2,False,2.4671616799091725,2,4,512,512,True,True,False,2048,True,4,True,256,True,12,8,32,False,8,1,1,16,1,1,8,False,10,2.4688503200908274,1,2.468006,8,1,16,True,1,2048,16,32,False,4,4,2,1
