id,T2_K,T2_J,T2_I,mean_confidence_interval_inf,RT_K,baseline,T1_J,T1_K,technique,VEC2,VEC1,SCR,ACOPY_x,ACOPY_y,U1_I,RT_J,T1_I,runs,mean_confidence_interval_sup,cost_std,cost_mean,U_J,U_I,correct_result,U_K,RT_I
1,2048,512,8,3.050327993086453,2,False,64,128,RS,True,True,True,False,False,8,4,8,10,3.0506060069135477,0.00022427884429880037,3.0504670000000003,1,28,True,30,16
2,4,1024,256,6.448423080581414,4,False,64,2,RS,False,False,False,True,False,29,2,1,10,6.448632919418587,0.0001692808317559002,6.4485280000000005,1,19,True,8,1
3,1,1,2048,2.0269507962359823,4,False,16,256,RS,False,True,False,True,False,4,2,4,10,2.0276492037640175,0.0005634181395730559,2.0273,1,9,True,4,4
4,1,512,16,2.073725580189495,2,False,32,16,RS,False,False,False,True,False,13,8,8,10,2.073864419810505,0.00011200446419671383,2.073795,4,27,True,1,4
5,1024,1,128,3.871799964065768,4,False,2048,4,RS,True,False,False,False,True,12,16,16,10,3.8723560359342315,0.00044859335706185654,3.8720779999999997,1,27,True,14,2
6,4,64,1,2.207453852435199,2,False,4,1,RS,True,True,True,True,False,10,4,512,10,2.2081981475648007,0.000600436507884023,2.207826,1,8,True,7,16
7,1024,64,1,2.1299699861786863,4,False,64,128,RS,True,True,True,True,False,22,8,128,10,2.136656013821314,0.0053937409096100255,2.1333130000000002,6,25,True,1,1
8,256,2048,512,1.854908918820483,4,False,512,256,RS,False,False,True,False,False,4,8,512,10,1.8564810811795172,0.0012682921587710025,1.855695,23,30,True,1,2
9,128,2048,256,3.9378678069876822,1,False,512,8,RS,False,False,True,False,False,25,2,16,10,3.9385861930123176,0.0005795351585538698,3.938227,26,1,True,18,32
10,128,32,1024,2.1698408698674476,2,False,1,16,RS,True,False,False,False,False,10,1,16,10,2.169999130132552,0.00012767145334800735,2.16992,15,1,True,16,8
11,16,1,2048,1.7403913410123961,1,False,2048,8,RS,False,False,True,False,False,22,4,64,10,1.7405926589876042,0.00016240689640526588,1.7404920000000002,30,2,True,1,4
12,256,32,512,4.8894248697573985,1,False,2,64,RS,True,False,False,True,False,7,1,8,10,4.889763130242601,0.0002728809264130781,4.889594,25,30,True,1,16
13,64,16,1,3.78421848741516,1,False,16,2,RS,True,False,False,False,False,12,2,64,10,3.7850835125848405,0.0006978316415869573,3.784651,15,5,True,1,1
14,2048,64,512,2.6243776029120793,16,False,64,2048,RS,False,True,False,False,False,4,1,1,10,2.62478639708792,0.0003297817460078441,2.6245819999999997,1,26,True,23,1
15,2048,64,64,2.7070192269471156,2,False,16,8,RS,False,False,False,True,True,6,4,32,10,2.7071187730528847,8.030566605163017e-05,2.707069,23,1,True,24,4
16,2048,32,32,1.8922680445203293,4,False,8,64,RS,False,True,True,True,True,12,4,1,10,1.8931299554796706,0.0006953193510898309,1.892699,1,19,True,24,4
17,1024,64,256,2.191665046960959,2,False,2,128,RS,False,False,False,True,False,29,2,8,10,2.1917529530390407,7.09154426059655e-05,2.191709,27,7,True,1,4
18,256,1,2048,3.6859746142416046,1,False,8,2,RS,False,True,False,False,False,17,32,2048,10,3.692759385758397,0.005473399400738115,3.6893670000000007,30,1,True,1,2
19,1,2048,512,1.9103167186870347,2,False,8,1024,RS,False,False,True,False,True,3,2,128,10,1.910451281312965,0.0001085541339609073,1.9103839999999999,1,8,True,5,4
20,8,2,2048,inf,16,False,2,1,RS,True,True,False,True,True,20,1,2,1,inf,inf,inf,29,19,False,1,4
21,2048,8,64,3.059934754025363,1,False,1,32,RS,True,False,False,True,True,21,4,1,10,3.060245245974637,0.00025047954008260154,3.06009,1,8,True,7,1
22,512,256,1024,inf,1,False,2,2,RS,False,False,False,True,True,12,32,8,1,inf,inf,inf,9,7,False,1,1
23,512,1024,16,3.4729047478059676,4,False,32,64,RS,False,True,True,True,True,11,1,2,10,3.473423252194032,0.0004182869828240435,3.4731639999999997,28,1,True,17,1
24,512,2048,2048,2.194897175072005,1,False,8,64,RS,False,True,True,False,True,8,2,64,10,2.195326824927996,0.00034660640501873763,2.1951120000000004,2,18,True,1,2
25,2048,1024,128,2.460052335059851,64,False,32,64,RS,False,False,True,True,False,26,1,128,10,2.4606776649401496,0.0005044650632105363,2.4603650000000004,1,3,True,2,1
26,512,256,1024,4.844398773382336,16,False,256,16,RS,False,False,True,True,True,25,1,8,10,4.848589226617664,0.003380515345328316,4.846494,18,1,True,10,1
27,128,1,1024,1.5863620717635791,4,False,4,128,RS,True,True,True,True,True,16,4,8,10,1.587673928236421,0.0010582986346017913,1.587018,28,1,True,30,8
28,16,1,1024,2.183838325283429,4,False,128,16,RS,False,True,True,True,False,16,1,16,10,2.184105674716571,0.0002156756824493583,2.183972,1,15,True,9,2
29,1,1,256,inf,4,False,4,4,RS,True,False,True,True,False,5,8,32,1,inf,inf,inf,13,1,False,12,2
30,128,2,1024,1.4855062719633954,8,False,1,1,RS,True,True,True,True,False,26,2,1,10,1.4857777280366045,0.0002189885841773279,1.485642,17,1,True,20,8
31,1024,64,16,inf,32,False,16,2,RS,True,True,False,False,True,25,2,2,1,inf,inf,inf,26,1,False,8,2
32,2048,1,2048,1.9092190325921339,2,False,2048,16,RS,False,False,True,False,False,25,8,2048,10,1.909550967407866,0.0002677778930382397,1.9093849999999999,11,17,True,1,2
33,1,1,64,1.768670719820307,8,False,1024,512,RS,True,False,False,False,True,21,2,64,10,1.7691372801796925,0.0003763827838783442,1.7689039999999998,24,6,True,1,8
34,2,128,512,7.044052820867937,2,False,32,2,RS,False,True,True,True,False,13,4,4,10,7.052943179132062,0.007172014779683732,7.0484979999999995,9,1,True,15,16
35,128,512,1024,5.0717227321562275,8,False,2,4,RS,True,True,False,False,False,28,2,16,10,5.071905267843772,0.00014725488107367657,5.071814,20,22,True,1,2
36,1024,2048,2048,1.655709043691384,4,False,32,256,RS,True,True,True,False,False,9,16,64,10,1.656132956308616,0.00034197806947234996,1.655921,1,14,True,21,1
37,256,128,128,inf,4,False,64,2,RS,False,False,True,True,True,20,2,32,1,inf,inf,inf,1,2,False,22,2
38,32,1,1024,3.7498639130733165,16,False,2,4,RS,True,True,True,True,False,8,1,64,10,3.750382086926685,0.0004180203344336433,3.7501230000000008,27,20,True,1,1
39,2048,256,2048,2.4225680031772163,2,False,8,1024,RS,False,True,False,False,True,14,2,256,10,2.423541996822784,0.0007857385061201435,2.423055,26,28,True,1,16
40,64,512,1,2.2297897142618943,1,False,1,64,RS,True,False,True,False,True,16,2,2048,10,2.230338285738105,0.0004425426533116004,2.2300639999999996,21,17,True,1,1
41,32,1024,2048,4.038729174471911,4,False,4,2,RS,True,True,False,False,False,14,2,1,10,4.03916282552809,0.0003498342464653733,4.038946,26,25,True,1,16
42,512,1024,1024,3.9555173422439216,2,False,128,1,RS,False,False,False,False,False,16,1,4,10,3.9832406577560784,0.022364906192515112,3.969379,5,1,True,30,8
43,64,8,1024,1.9755506299855274,1,False,1,64,RS,True,True,False,False,False,1,1,8,10,1.9756813700144726,0.00010547037498748505,1.975616,5,1,True,3,4
44,64,64,32,4.86916739896861,2,False,64,16,RS,True,True,True,False,True,9,8,4,10,4.869422601031388,0.00020587617637805866,4.869294999999999,1,7,True,26,1
45,64,512,512,4.975030494236787,4,False,2,2,RS,False,True,True,True,False,20,2,512,10,4.977369505763214,0.0018869234218695566,4.9762,24,1,True,12,4
46,256,32,32,3.6016545438266037,16,False,4,32,RS,True,False,True,True,False,23,1,2,10,3.6068334561733963,0.004177923407627239,3.604244,11,24,True,1,4
47,256,32,32,3.1635729548282794,4,False,8,8,RS,False,False,False,True,True,17,4,4,10,3.16740704517172,0.003093030876017829,3.1654899999999997,1,2,True,25,2
48,1024,1024,1024,3.5292241736977004,16,False,128,64,RS,False,False,False,True,True,5,2,128,10,3.5296198263023,0.0003191801998871788,3.5294220000000003,25,27,True,1,1
49,8,8,4,2.7580058455551812,1,False,8,8,RS,False,False,True,True,False,16,2,1,10,2.758528154444819,0.0004213561438973189,2.758267,1,2,True,14,1
50,128,1024,1024,3.385059151090383,1,False,512,128,RS,True,False,False,True,False,6,32,4,10,3.385356848909617,0.00024015828113973953,3.385208,10,6,True,1,1
51,2048,1,512,1.4042190672297363,4,False,64,16,RS,True,False,True,False,False,27,4,32,10,1.4054869327702635,0.001022810344100977,1.404853,5,16,True,1,8
52,4,64,2,10.936969054267605,4,False,1,2,RS,True,False,False,True,False,13,16,1,10,10.937990945732396,0.0008243785538208823,10.93748,1,11,True,30,1
53,512,1,32,2.991957020931952,2,False,2,64,RS,False,True,True,False,False,29,8,1,10,2.992822979068048,0.0006985842826746291,2.99239,3,1,True,30,4
54,16,512,512,inf,32,False,1,4,RS,True,False,True,True,True,16,2,8,1,inf,inf,inf,27,27,False,1,2
