id,SCREP,runs,T1_I,T1_J,cost_mean,U_J,U_I,technique,mean_confidence_interval_inf,cost_std,correct_result,T2_J,T2_I,OMP,VEC,PAR1j,ACOPY_A,PAR1i,mean_confidence_interval_sup,baseline
1,True,10,512,1024,0.08433963,29,1,DLMT,0.06945765761657804,0.02401111917287697,True,1,512,True,False,True,False,False,0.09922160238342195,False
2,True,10,128,4,0.21684209999999998,3,13,DLMT,0.21680331008940432,6.258506211549382e-05,True,8,128,False,False,True,True,True,0.21688088991059565,False
3,True,10,1,64,0.09020412999999998,2,21,DLMT,0.09019236907120284,1.8975513168291132e-05,True,1024,128,False,False,True,False,False,0.09021589092879712,False
4,False,10,1,64,0.07385885,29,1,DLMT,0.06378318287270374,0.01625645028136524,True,64,1,True,True,False,False,True,0.08393451712729627,False
5,True,10,32,2,0.1115888,1,21,DLMT,0.11157483658050824,2.2529092303063807e-05,True,4,1,False,True,False,True,False,0.11160276341949177,False
6,False,10,256,2048,0.06959679,2,10,DLMT,0.05806644690909121,0.01860347774656395,True,2048,2048,True,False,False,False,False,0.0811271330909088,False
7,True,10,2,1,0.11941380000000001,12,1,DLMT,0.11939473326727111,3.0762964746590085e-05,True,1,2048,False,True,False,False,True,0.11943286673272892,False
8,False,10,1,8,0.1237436,1,7,DLMT,0.1236917863215235,8.359808610249251e-05,True,1,256,False,False,False,True,True,0.12379541367847649,False
9,False,10,16,1,0.07097624999999999,18,1,DLMT,0.06478658766170693,0.009986627861921159,True,16,256,True,False,True,False,False,0.07716591233829305,False
10,True,10,8,1,0.128238,1,9,DLMT,0.12820463683006839,5.382936001848651e-05,True,1024,16,False,True,True,False,False,0.1282713631699316,False
11,False,10,64,2048,0.06274892,9,1,DLMT,0.059441736986371854,0.005335930172481645,True,1,64,True,True,True,False,True,0.06605610301362815,False
12,False,10,128,8,0.059136900000000006,21,2,DLMT,0.05655194007030024,0.0041706690034094066,True,2048,1,True,False,True,False,True,0.06172185992969977,False
13,True,10,1,1,0.05814178,5,6,DLMT,0.054200554532812244,0.006358917483628799,True,128,1024,True,True,True,True,False,0.06208300546718775,False
14,True,10,512,4,0.1363152,1,2,DLMT,0.13630404093511392,1.800444389588091e-05,True,8,2048,False,True,True,False,False,0.13632635906488608,False
