id,T_J,runs,T_I,RT_J,RT_I,cost_mean,U_J,U_I,technique,mean_confidence_interval_inf,correct_result,OMP,VEC,cost_std,SCREP,mean_confidence_interval_sup,baseline
1,16,1,64,2,32,inf,1,22,RS,inf,False,True,True,inf,True,inf,False
2,512,10,256,1,1,0.7601397000000001,1,30,RS,0.7600088985615222,True,False,False,0.00021103983036383812,False,0.760270501438478,False
3,4,10,2048,4,8,0.9769864,5,1,RS,0.9769371949880382,True,False,False,7.938916802689334e-05,True,0.9770356050119618,False
4,4,1,32,16,1,inf,4,1,RS,inf,False,True,False,inf,True,inf,False
5,2,1,2,4,1,inf,4,1,RS,inf,False,True,True,inf,False,inf,False
6,2048,10,4,8,1,0.23181249999999998,20,1,RS,0.23178616892149467,True,False,False,4.248352621899424e-05,True,0.23183883107850528,False
7,512,10,32,4,8,0.6569555,25,1,RS,0.6568833577485329,True,False,True,0.00011639695013184717,True,0.6570276422514671,False
8,32,1,4,8,1,inf,6,1,RS,inf,False,True,False,inf,False,inf,False
9,128,1,8,1,32,inf,1,5,RS,inf,False,True,True,inf,True,inf,False
10,8,10,4,1,1,0.29543909999999995,3,1,RS,0.2948238001899813,True,False,True,0.000992747243763483,True,0.29605439981001863,False
11,8,10,4,8,2,0.2582578,1,3,RS,0.25823101538718746,True,False,True,4.321527507721445e-05,False,0.2582845846128125,False
12,1024,10,128,16,4,0.4313098,27,1,RS,0.43122539911705393,True,False,True,0.00013617547503129798,True,0.4313942008829461,False
13,1024,10,2048,16,32,0.9039735,5,1,RS,0.903822423196854,True,False,False,0.0002437528461372375,False,0.904124576803146,False
14,2,10,2,8,16,0.294207,1,24,RS,0.29417092388257515,True,False,True,5.8206528843420646e-05,False,0.29424307611742484,False
15,8,10,1024,16,8,0.7409063,27,1,RS,0.7408383369664637,True,False,False,0.00010965404689294319,False,0.7409742630335363,False
16,64,1,64,16,32,inf,1,22,RS,inf,False,True,False,inf,False,inf,False
17,256,1,2,32,4,inf,1,30,RS,inf,False,True,False,inf,False,inf,False
18,128,10,32,2,32,0.7935985000000001,1,23,RS,0.7934697444626188,True,False,False,0.00020773889862036536,False,0.7937272555373814,False
19,1024,10,2048,16,8,1.077148,1,27,RS,1.077022997928421,True,False,True,0.00020168291945527397,True,1.077273002071579,False
20,1024,10,128,4,16,0.9901259,1,9,RS,0.9900467846996694,True,False,False,0.0001276475224985015,False,0.9902050153003306,False
21,512,1,1,4,16,inf,1,27,RS,inf,False,True,True,inf,False,inf,False
22,256,1,4,16,16,inf,23,1,RS,inf,False,True,False,inf,True,inf,False
23,2048,1,1,1,4,inf,28,1,RS,inf,False,True,True,inf,False,inf,False
24,256,10,512,32,32,0.9904559000000001,1,8,RS,0.9903910370654877,True,False,False,0.0001046522336120792,False,0.9905207629345124,False
25,256,10,2048,1,32,0.8795788,30,1,RS,0.8795289561466993,True,False,True,8.041989803524444e-05,True,0.8796286438533006,False
26,64,10,32,4,32,0.9761559,5,1,RS,0.9761011685891618,True,False,False,8.83056623326018e-05,True,0.9762106314108381,False
27,64,1,512,1,8,inf,1,30,RS,inf,False,True,False,inf,True,inf,False
28,64,1,128,16,2,inf,1,20,RS,inf,False,True,False,inf,True,inf,False
29,1,1,512,1,4,inf,1,25,RS,inf,False,True,True,inf,False,inf,False
30,512,10,256,1,2,0.19988940000000002,1,15,RS,0.19985998460351095,True,False,True,4.745987779166695e-05,True,0.1999188153964891,False
31,32,1,1,8,8,inf,8,1,RS,inf,False,True,True,inf,False,inf,False
32,1024,1,8,32,2,inf,1,27,RS,inf,False,True,False,inf,True,inf,False
33,512,1,256,2,16,inf,25,1,RS,inf,False,True,False,inf,True,inf,False
34,2048,10,8,4,2,0.19197769999999997,1,9,RS,0.1919467983224548,True,False,True,4.9857898070415404e-05,True,0.19200860167754516,False
35,16,10,64,8,2,0.20492210000000002,1,5,RS,0.20490053246868234,True,False,True,3.479784476084786e-05,True,0.2049436675313177,False
36,2048,1,2048,4,8,inf,6,1,RS,inf,False,True,True,inf,False,inf,False
37,16,1,2,4,32,inf,1,3,RS,inf,False,True,True,inf,False,inf,False
38,2048,10,128,32,2,0.4410576,2,1,RS,0.4410068666815113,True,False,True,8.185499373892931e-05,True,0.4411083333184887,False
39,16,1,2,16,2,inf,1,27,RS,inf,False,True,False,inf,False,inf,False
40,8,1,8,4,32,inf,1,15,RS,inf,False,True,False,inf,False,inf,False
41,32,1,512,32,8,inf,1,12,RS,inf,False,True,True,inf,False,inf,False
42,256,10,512,4,8,0.6662334999999999,28,1,RS,0.6646198037856587,True,False,True,0.002603596560529318,True,0.6678471962143412,False
43,16,10,512,4,2,0.22006260000000002,1,10,RS,0.22002938083645446,True,False,True,5.35970148422482e-05,True,0.2200958191635456,False
44,16,10,4,32,16,0.2160298,1,1,RS,0.21590795901585444,True,False,True,0.0001965827052413288,False,0.21615164098414555,False
45,1024,1,2,8,4,inf,18,1,RS,inf,False,True,False,inf,True,inf,False
46,32,10,1024,2,4,0.3963178,14,1,RS,0.3962615044570038,True,False,True,9.0829290429904e-05,False,0.3963740955429962,False
47,8,10,4,16,4,0.28610199999999997,1,29,RS,0.28597476768834623,True,False,True,0.00020528127045593277,False,0.2862292323116537,False
48,8,1,32,16,32,inf,1,17,RS,inf,False,True,False,inf,False,inf,False
49,128,1,256,8,2,inf,4,1,RS,inf,False,True,False,inf,True,inf,False
50,8,10,128,16,8,0.6707822,1,26,RS,0.6707297506899489,True,False,True,8.462363735978056e-05,False,0.6708346493100511,False
51,256,10,2,32,4,0.23363810000000002,1,1,RS,0.23359937947415557,True,False,True,6.247311421723831e-05,False,0.23367682052584446,False
52,32,1,256,8,2,inf,1,10,RS,inf,False,True,False,inf,True,inf,False
53,2048,10,2,32,32,0.4465986,1,9,RS,0.4465621286564946,True,False,False,5.884420107368693e-05,True,0.44663507134350544,False
54,1,10,64,2,32,0.7954269,1,19,RS,0.7952837312514947,True,False,False,0.00023099370121281676,True,0.7955700687485054,False
55,2048,1,512,16,1,inf,18,1,RS,inf,False,True,True,inf,False,inf,False
56,512,1,256,1,8,inf,19,1,RS,inf,False,True,True,inf,False,inf,False
57,32,10,64,8,2,0.199491,1,7,RS,0.19946906941304135,True,False,True,3.538361202590843e-05,True,0.19951293058695865,False
58,2048,1,512,1,2,inf,4,1,RS,inf,False,True,False,inf,True,inf,False
59,1,1,1024,32,1,inf,1,1,RS,inf,False,True,False,inf,False,inf,False
60,8,1,128,16,8,inf,18,1,RS,inf,False,True,False,inf,True,inf,False
61,64,10,64,32,8,1.048437,27,1,RS,1.048123993690305,True,False,True,0.000505015841335711,True,1.048750006309695,False
62,2,1,256,32,8,inf,1,1,RS,inf,False,True,False,inf,False,inf,False
63,1,10,128,2,4,0.21279900000000002,1,9,RS,0.21261349792501427,True,False,True,0.0002992958402651165,True,0.21298450207498576,False
64,2,10,2048,1,1,0.7979597999999999,1,9,RS,0.7973559133851108,True,False,False,0.0009743327768273085,True,0.798563686614889,False
65,2048,1,16,32,2,inf,14,1,RS,inf,False,True,True,inf,False,inf,False
66,256,10,1,8,32,0.8633005,1,2,RS,0.8631100257325731,True,False,True,0.0003073181576151791,False,0.8634909742674269,False
67,4,10,1024,2,2,0.4823434,5,1,RS,0.4823041554712574,True,False,True,6.331855968040505e-05,False,0.4823826445287426,False
68,32,10,32,16,16,1.0241289999999998,1,10,RS,1.0239143244370543,True,False,True,0.000346365413977773,True,1.0243436755629454,False
69,64,1,32,16,8,inf,1,16,RS,inf,False,True,True,inf,False,inf,False
70,1024,10,64,8,1,0.2113775,9,1,RS,0.21136043761573733,True,False,True,2.7529075538419534e-05,True,0.21139456238426266,False
71,1,10,128,1,16,0.6941584999999999,20,1,RS,0.6940209129712819,True,False,True,0.00022198795012343123,False,0.6942960870287179,False
72,128,10,16,1,2,0.3438574,26,1,RS,0.343826728974555,True,False,False,4.948575552621809e-05,False,0.34388807102544494,False
73,1,1,32,16,4,inf,28,1,RS,inf,False,True,False,inf,False,inf,False
74,512,10,4,4,32,0.2063523,4,1,RS,0.20631448432465166,True,False,True,6.101319529413258e-05,True,0.20639011567534832,False
75,2,1,128,32,32,inf,25,1,RS,inf,False,True,False,inf,False,inf,False
76,512,10,512,16,1,0.9043341999999999,1,27,RS,0.9041952268605498,True,False,True,0.00022422435193350212,True,0.90447317313945,False
77,64,10,8,1,16,0.2331582,1,20,RS,0.23300246663414587,True,False,True,0.000251265914918836,True,0.23331393336585415,False
78,4,1,2048,8,8,inf,19,1,RS,inf,False,True,False,inf,True,inf,False
