id,T5_I,T1_Ja,technique,RT1_J,RT7_I,VEC10,RT7_J,T5_J,cost_std,VEC9,T3_J,T3_I,RT1_I,VEC6,mean_confidence_interval_inf,T1_I,T1_J,T5_Ia,T3_Ja,VEC7,VEC4,VEC5,T7_J,VEC3,T7_I,VEC2,T7_Ia,VEC8,U10_I,U6_I,T1_Ia,VEC1,U5_J,U5_I,U1_J,U1_I,U8_I,U7_I,U7_J,baseline,runs,mean_confidence_interval_sup,U2_I,cost_mean,U9_I,RT3_I,RT3_J,correct_result,T7_Ja,T5_Ja,U4_I,T3_Ia,SCR,U3_I,RT5_J,RT5_I,U3_J
1,32,1024,DLMT,32,16,False,8,2048,6.945502141681784e-05,False,1024,32,1,False,2.7664229521227566,32,64,256,1024,True,True,False,1,True,1,True,8,False,4,12,2048,False,1,16,8,1,1,16,1,False,10,2.7665090478772423,16,2.7664659999999994,4,1,8,True,8,2048,1,2048,False,4,8,2,1
2,16,8,DLMT,2,4,True,8,1,0.00024746919000150487,True,2,2,8,True,3.7788536198253886,1,8,512,16,False,False,True,1,True,1024,True,1,True,16,8,16,False,8,1,12,1,8,1,12,False,10,3.7791603801746114,12,3.779007,4,8,8,True,8,16,16,4,False,8,1,8,1
3,64,128,DLMT,1,2,True,32,1,0.0008011092310041645,True,2,8,8,True,4.18188547647829,4,8,64,64,False,False,True,2,True,128,True,512,False,1,8,4,True,1,4,1,4,4,1,4,False,10,4.182878523521709,16,4.182382,12,4,8,True,16,1024,1,256,True,1,8,16,12
4,4,32,DLMT,2,4,True,2,64,0.0001651696097955312,False,512,4,8,True,3.4492006286963606,1,1,16,512,False,True,True,64,True,64,True,2048,True,1,1,128,True,1,1,1,12,8,1,4,False,10,3.4494053713036386,8,3.4493029999999996,16,1,32,True,256,128,8,32,False,12,1,16,1
5,2,1,DLMT,2,16,False,2,128,0.00013870832707521308,True,16,1,1,True,3.221374029267939,2048,2048,32,1,True,False,True,2,False,2,False,1024,False,8,16,1,True,8,1,4,1,8,1,4,False,10,3.22154597073206,8,3.2214599999999995,16,4,16,True,8,2048,12,128,True,1,16,1,4
6,2,2048,DLMT,1,4,False,32,64,0.0004669743033615146,False,1,4,8,True,3.1066455716465624,4,4,128,2,False,False,False,1,False,4,False,4,True,4,12,1024,False,1,12,12,1,12,1,8,False,10,3.1072244283534367,16,3.1069349999999996,12,2,1,True,256,2048,16,1024,False,1,16,4,16
7,32,1024,DLMT,16,8,True,4,8,0.00011987076374161512,True,16,64,8,True,3.6217467046961143,2,4,2048,128,True,False,True,2,True,2,True,32,False,1,4,8,False,4,1,1,16,12,4,1,False,10,3.621895295303885,12,3.6218209999999997,8,16,1,True,1,512,12,64,False,1,4,1,1
8,1,2048,DLMT,2,1,False,8,4,0.0011659678383212932,True,2,8,1,True,4.523760338925982,32,1,64,256,False,False,True,4,False,128,True,1,True,1,1,1,False,1,1,1,8,1,1,16,False,10,4.525205661074018,16,4.524483,4,1,8,True,64,2048,16,128,False,4,32,1,1
9,2,1024,DLMT,8,1,False,32,2,0.002428923424070906,False,1024,128,8,False,3.5187555653279126,32,1024,64,2048,False,True,False,8,False,2048,False,1,True,4,16,128,True,1,12,1,8,1,1,16,False,10,3.5217664346720876,12,3.520261,16,4,2,True,256,8,4,256,False,16,1,1,1
10,256,1,DLMT,1,1,False,32,8,0.000364060434543517,True,64,4,16,False,2.587704357151211,32,2,2048,2048,True,True,True,1,True,2,True,1,True,12,8,64,True,4,1,12,1,4,1,12,False,10,2.5881556428487884,4,2.5879299999999996,12,2,1,True,128,1024,1,32,True,1,2,16,8
