id,T2_K,T2_J,T2_I,mean_confidence_interval_inf,RT_K,T1_I,T1_J,T1_K,technique,VEC2,VEC1,SCR,ACOPY_x,ACOPY_y,U1_I,RT_J,runs,RT_I,U_K,U_J,U_I,cost_std,correct_result,cost_mean,OMP,mean_confidence_interval_sup
1,256,1024,2048,inf,32,128,64,1,DLMT,False,False,True,False,False,26,1,1,1,20,30,1,inf,False,inf,False,inf
2,1,1,1,inf,1,512,512,128,DLMT,True,True,False,False,True,24,8,1,8,2,1,27,inf,False,inf,True,inf
3,1024,2048,2048,inf,1,1,512,512,DLMT,True,True,True,True,False,30,1,1,32,20,1,3,inf,False,inf,False,inf
4,512,512,128,inf,1,16,512,512,DLMT,False,True,False,False,False,29,1,1,1,1,29,3,inf,False,inf,False,inf
5,256,2048,64,inf,1,16,16,128,DLMT,True,True,False,False,True,27,1,1,1,27,1,14,inf,False,inf,False,inf
6,1024,256,2048,inf,1,16,1,512,DLMT,False,False,True,False,True,11,32,1,1,26,1,18,inf,False,inf,True,inf
7,128,1,2048,inf,32,1,16,128,DLMT,True,True,False,False,False,2,1,1,1,1,11,13,inf,False,inf,False,inf
8,64,1024,1024,inf,1,16,1,1,DLMT,False,True,False,True,True,27,1,1,32,1,30,24,inf,False,inf,False,inf
9,64,256,2048,inf,1,512,1,1,DLMT,True,True,False,False,False,20,1,1,32,4,18,1,inf,False,inf,True,inf
10,1024,64,128,inf,8,1,1,64,DLMT,True,False,False,True,False,30,8,1,1,25,1,27,inf,False,inf,False,inf
11,2048,1,256,inf,1,32,256,16,DLMT,False,False,False,True,True,30,8,1,1,1,10,1,inf,False,inf,False,inf
12,2048,2048,2048,inf,1,64,512,128,DLMT,True,False,False,True,True,29,32,1,1,1,25,26,inf,False,inf,True,inf
13,512,256,128,inf,32,1,256,1,DLMT,True,False,False,False,True,29,1,1,1,7,1,4,inf,False,inf,True,inf
14,1,256,1,inf,1,256,1,128,DLMT,False,False,True,True,False,23,32,1,1,1,14,11,inf,False,inf,True,inf
15,1,1024,128,inf,1,1,16,256,DLMT,False,False,True,False,True,30,1,1,1,6,1,6,inf,False,inf,True,inf
16,128,128,512,inf,1,1,128,1,DLMT,True,False,True,True,True,10,1,1,1,10,29,1,inf,False,inf,True,inf
17,512,1024,1,inf,1,64,1,512,DLMT,True,False,True,False,True,5,1,1,32,11,22,1,inf,False,inf,True,inf
18,64,1024,1,inf,1,32,256,16,DLMT,False,False,False,False,False,9,1,1,32,9,1,28,inf,False,inf,True,inf
19,512,2048,512,inf,1,512,32,16,DLMT,False,False,False,False,False,1,1,1,1,11,1,30,inf,False,inf,True,inf
20,512,2048,1,inf,32,256,64,512,DLMT,False,True,False,True,True,3,1,1,1,1,13,2,inf,False,inf,False,inf
21,1,1,1024,inf,1,32,256,512,DLMT,False,False,True,True,False,5,1,1,1,25,20,1,inf,False,inf,False,inf
22,128,64,1024,inf,1,512,64,32,DLMT,False,True,True,False,True,19,32,1,1,27,1,8,inf,False,inf,False,inf
23,2048,1,256,inf,32,256,128,512,DLMT,True,False,True,False,True,22,1,1,1,1,30,27,inf,False,inf,True,inf
24,2048,512,128,inf,1,1,32,1,DLMT,True,True,True,False,False,6,8,1,1,1,20,28,inf,False,inf,True,inf
25,2048,2048,1,inf,1,1,512,16,DLMT,True,True,True,True,False,7,32,1,1,28,14,1,inf,False,inf,True,inf
26,1,1,128,inf,32,32,256,16,DLMT,False,True,True,True,True,25,1,1,1,1,29,24,inf,False,inf,False,inf
27,2048,1,1,inf,1,256,128,16,DLMT,False,True,False,False,True,28,1,1,32,28,27,1,inf,False,inf,True,inf
28,1,1024,1,inf,1,1,128,256,DLMT,True,False,False,False,False,3,32,1,1,21,28,1,inf,False,inf,True,inf
