id,runs,mean_confidence_interval_sup,mean_confidence_interval_inf,U2_I,U2_J,cost_mean,baseline,technique,RT2_J,T2_Ia,correct_result,T2_J,T2_I,OMP,VEC2,cost_std,T2_Ja,SCR,RT2_I
1,10,0.1010346224802549,0.07163479751974512,1,14,0.08633471000000001,False,RS,2,1,True,4,64,True,False,0.023717377058665234,256,True,1
2,10,0.1049616875830613,0.10493711241693869,1,5,0.1049494,False,RS,4,512,True,256,2,False,False,1.982523644247649e-05,256,True,4
3,10,0.10029745364430807,0.08165170635569192,1,19,0.09097458,False,RS,4,512,True,4,256,True,False,0.015041865711061244,8,False,2
4,10,0.08950227141958332,0.08053358858041669,1,1,0.08501793,False,RS,8,32,True,8,32,True,False,0.007235200648364911,128,False,8
5,10,0.10161626327520652,0.10159133672479347,1,5,0.1016038,False,RS,4,128,True,1,128,False,True,2.0108704582841593e-05,256,True,1
6,10,0.11554325194072491,0.11545894805927508,1,7,0.1155011,False,RS,4,16,True,1,8,False,True,6.800948463265877e-05,256,True,8
7,10,0.08452443562207669,0.07426738437792334,10,1,0.07939591000000001,False,RS,8,1,True,16,8,True,False,0.008274551028599678,16,False,16
8,10,0.09764955608040679,0.08425550391959322,1,30,0.09095253,False,RS,1,128,True,4,1,True,True,0.01080522710145881,256,False,16
9,10,0.1065240224286948,0.06746041757130519,2,1,0.08699222,False,RS,4,1024,True,512,16,True,False,0.03151332522958502,512,False,8
10,10,0.09400888245092477,0.07602229754907523,4,1,0.08501559,False,RS,2,16,True,8,1,True,True,0.014510107345464407,1024,False,2
11,10,0.10362085510472924,0.06843352489527077,30,1,0.08602719,False,RS,2,2048,True,2,16,True,False,0.02838626350280889,2048,False,8
12,10,0.10076225058475001,0.06420274941524999,1,27,0.0824825,False,RS,2,2048,True,64,16,True,True,0.029493218938495002,128,True,32
13,10,0.14943551385069695,0.1494176861493031,20,1,0.14942660000000002,False,RS,1,512,True,512,32,False,True,1.4381933110678428e-05,2048,False,8
14,10,0.0841092646836593,0.06808613531634071,1,3,0.0760977,False,RS,8,16,True,4,8,True,False,0.012926151818077955,8,True,2
15,10,0.16088047973498584,0.16066992026501417,30,1,0.1607752,False,RS,16,16,True,32,2,False,True,0.00016986217942791296,32,True,8
16,10,0.1733796469013227,0.17333115309867728,1,25,0.1733554,False,RS,1,32,True,8,8,False,True,3.912083843681961e-05,2048,True,2
17,1,inf,inf,1,3,inf,False,RS,16,1,False,4,1,True,False,inf,512,True,4
18,10,0.10107860834392754,0.06568157165607247,1,13,0.08338009,False,RS,4,512,True,1,32,True,True,0.02855543755831628,512,True,16
19,10,0.17209583038391782,0.17206256961608216,1,19,0.1720792,False,RS,2,512,True,8,32,False,False,2.683207036365482e-05,64,True,16
20,10,0.10705806827401403,0.107019131725986,21,1,0.10703860000000001,False,RS,8,2,True,128,1,False,True,3.14108261591445e-05,1024,True,8
21,10,0.08595367428455268,0.07659694571544733,1,27,0.08127531,False,RS,2,16,True,1,2,True,False,0.0075482442431932485,1,True,1
22,10,0.6566342637171364,0.6565527362828637,1,16,0.6565935,False,RS,4,4,True,4,4,False,False,6.576967386266193e-05,2048,False,2
23,10,0.11915348848211028,0.08128807151788968,1,25,0.10022077999999998,False,RS,4,2048,True,32,64,True,False,0.03054672511929225,1024,True,2
24,10,0.1130239401085051,0.11297405989149488,4,1,0.11299899999999999,False,RS,16,2048,True,32,1024,False,False,4.0239284287870316e-05,256,False,1
25,10,0.112257252314843,0.08983710768515703,23,1,0.10104718000000001,False,RS,4,512,True,32,1,True,False,0.01808674114918439,32,True,32
26,10,0.0917434181000894,0.060732541899910585,3,1,0.07623798,False,RS,2,512,True,128,4,True,True,0.02501704158943659,128,True,16
27,10,0.08302906227629579,0.07159551772370422,1,9,0.07731229,False,RS,16,32,True,128,16,True,True,0.00922364972019753,128,True,8
28,10,0.09730096600972471,0.06259363399027529,1,29,0.0799473,False,RS,4,1024,True,16,4,True,False,0.02799904017494171,128,False,1
29,10,0.09553205320686499,0.07538764679313499,23,1,0.08545984999999999,False,RS,8,2048,True,128,2,True,False,0.016250861465303922,128,True,8
30,10,0.14696876991680047,0.1467430300831995,1,18,0.14685589999999998,False,RS,8,1024,True,8,128,False,True,0.00018210845669545405,512,False,2
31,10,0.11336087846515956,0.11332712153484044,20,1,0.113344,False,RS,1,32,True,64,4,False,False,2.7232333722985765e-05,256,True,16
32,10,0.09310235975496299,0.07300110024503702,1,2,0.08305173,False,RS,8,32,True,1,4,True,False,0.016216054068055524,4,True,4
33,10,0.10624625800575749,0.06421072199424252,26,1,0.08522849,False,RS,32,2048,True,32,8,True,True,0.033910836502848166,256,True,4
34,10,0.09390714538460604,0.07883983461539396,29,1,0.08637349,False,RS,4,8,True,128,2,True,True,0.012155075455500057,1,False,2
35,10,0.09599380643984574,0.09593117356015425,24,1,0.09596249,False,RS,8,1,True,1024,128,False,False,5.052709075337857e-05,2048,False,16
36,10,0.28607418477452246,0.2860338152254775,1,7,0.286054,False,RS,32,512,True,32,4,False,False,3.256685431538997e-05,1024,False,1
37,10,0.11213749593224735,0.11201650406775267,8,1,0.11207700000000001,False,RS,4,128,True,8,2,False,False,9.760635225230041e-05,8,True,32
38,10,0.15134861634522415,0.15130418365477585,8,1,0.1513264,False,RS,1,32,True,128,8,False,True,3.584466487498871e-05,2048,True,16
39,10,0.4348860527623269,0.43477474723767323,1,23,0.43483040000000006,False,RS,1,128,True,8,16,False,False,8.979220456142257e-05,128,True,8
40,10,0.09531108329693129,0.07290969670306872,25,1,0.08411039000000001,False,RS,1,32,True,1,8,True,False,0.018071608698256504,32,True,1
41,10,0.13945492031486906,0.13943547968513093,23,1,0.1394452,False,RS,4,256,True,64,64,False,False,1.568311193609065e-05,256,False,16
42,10,0.09821471526939787,0.06142912473060214,1,13,0.07982192,False,RS,1,2048,True,1,128,True,False,0.029675609372034808,512,False,8
43,10,0.09392903527919678,0.07241294472080322,1,14,0.08317099,False,RS,1,32,True,256,32,True,True,0.0173574241781118,256,True,2
44,10,0.18170655248415898,0.181677247515841,1,16,0.1816919,False,RS,1,1,True,16,512,False,False,2.3640854468486405e-05,1024,False,2
45,10,0.17686261662755734,0.17647678337244263,1,30,0.17666969999999999,False,RS,16,16,True,128,4,False,False,0.00031125875088100133,1,False,1
46,10,0.11641919655606929,0.11631240344393072,1,25,0.1163658,False,RS,1,2,True,256,1,False,True,8.615195877053449e-05,2048,False,16
47,10,0.09643227230260029,0.0760447876973997,1,25,0.08623853,False,RS,4,256,True,512,64,True,False,0.01644695709272995,1024,False,1
48,10,0.10288842397725223,0.08118071602274779,1,7,0.09203457000000001,False,RS,4,256,True,128,128,True,True,0.01751200543975761,512,True,2
49,10,0.08131293103758476,0.06914888896241524,22,1,0.07523091,False,RS,16,256,True,64,2,True,True,0.009812955445883773,128,False,1
50,10,0.10544131933359574,0.08202568066640425,1,25,0.0937335,False,RS,4,256,True,1024,1,True,False,0.01888982441511831,1024,True,32
51,10,0.1398607361269061,0.1395904638730939,1,1,0.1397256,False,RS,4,256,True,64,64,False,False,0.00021803357539608673,1024,True,16
52,10,0.09671212582737655,0.07556899417262346,1,15,0.08614056,False,RS,8,32,True,32,16,True,False,0.017056551402273554,2048,True,8
53,10,0.1428733715243617,0.1177806284756383,1,14,0.130327,False,RS,16,2048,True,8,8,True,False,0.020242775224756118,128,False,4
54,10,0.08493075075399258,0.07545862924600745,16,1,0.08019469000000001,False,RS,4,8,True,2,2,True,True,0.00764133383964475,128,True,4
55,10,0.15365978133662747,0.15350081866337253,25,1,0.1535803,False,RS,1,2048,True,8,1,False,False,0.00012823809886300784,2048,True,8
56,10,0.0998834168593713,0.08021728314062868,1,23,0.09005034999999999,False,RS,2,256,True,4,128,True,False,0.015865030125861726,1024,False,2
57,10,0.09473276456877877,0.07332771543122124,22,1,0.08403024,False,RS,1,8,True,128,2,True,False,0.017267845030935387,512,True,8
58,10,0.10405747559262722,0.10400732440737277,5,1,0.1040324,False,RS,8,16,True,256,2,False,True,4.045787933147319e-05,2048,False,16
59,10,0.17188586587360638,0.1718517341263936,3,1,0.1718688,False,RS,32,1,True,1,512,False,True,2.7534705373396964e-05,64,False,1
60,10,0.09456754869385217,0.05322269130614785,1,2,0.07389512000000001,False,RS,2,2048,True,8,16,True,False,0.03335365341181682,1,False,32
61,10,0.20421313630724242,0.20415566369275756,1,13,0.2041844,False,RS,32,64,True,64,8,False,False,4.6364210335134115e-05,2048,True,2
62,10,0.14238750163161867,0.14235469836838133,1,8,0.1423711,False,RS,4,128,True,2,128,False,True,2.646299302800151e-05,1024,False,1
63,10,0.20205156007148295,0.20200963992851706,1,3,0.2020306,False,RS,1,1024,True,4,128,False,False,3.381774682027565e-05,512,True,2
64,10,0.16838443979641854,0.16813376020358145,1,2,0.1682591,False,RS,8,2048,True,4,2048,False,True,0.00020222781707767296,16,True,2
65,10,0.10429006342282518,0.07379733657717483,1,13,0.0890437,False,RS,16,2048,True,8,512,True,True,0.024599041018665748,64,True,8
66,10,0.10005370274153695,0.07707857725846302,13,1,0.08856613999999999,False,RS,2,512,True,2,64,True,False,0.018534454364410084,16,False,2
67,10,0.0991499618229539,0.06389565817704611,1,25,0.08152281,False,RS,16,2048,True,2,16,True,False,0.028440292200167357,1024,False,8
68,10,0.11087768331309379,0.11082911668690619,22,1,0.11085339999999999,False,RS,8,2048,True,256,4,False,True,3.917958652155529e-05,1,True,2
69,10,0.11060377912993932,0.11055442087006068,1,11,0.1105791,False,RS,2,2048,True,128,1024,False,True,3.981821191364371e-05,2048,True,4
70,10,0.18133654072311375,0.18130785927688628,8,1,0.18132220000000002,False,RS,8,64,True,2,32,False,True,2.3137847782370204e-05,1024,True,1
71,10,0.09828968793796332,0.08011601206203665,21,1,0.08920284999999999,False,RS,8,128,True,4,4,True,False,0.014661037059584154,16,False,2
72,10,0.12149468770760205,0.12144831229239794,27,1,0.1214715,False,RS,8,256,True,2,16,False,False,3.741189650365211e-05,8,False,2
73,10,0.10319447650388978,0.06545628349611023,4,1,0.08432538,False,RS,1,2048,True,2,1,True,False,0.03044409122436734,512,True,2
74,10,0.21523998486530918,0.21517661513469086,1,25,0.21520830000000002,False,RS,8,2,True,32,2,False,False,5.1121521886577825e-05,256,True,16
75,10,0.08027299269271153,0.07293958730728846,25,1,0.07660629,False,RS,4,128,True,128,1,True,True,0.005915992387157035,128,True,8
76,10,0.08164771954784368,0.07710290045215633,1,18,0.07937531,False,RS,1,64,True,32,32,True,False,0.0036663887727435545,128,False,32
77,10,0.09223256713546715,0.07499897286453286,1,2,0.08361577,False,RS,1,32,True,8,8,True,False,0.013902656017470186,32,True,8
78,10,0.10011220217563851,0.06922361782436148,1,18,0.08466791,False,RS,32,512,True,1,16,True,False,0.02491838651596247,64,False,1
79,10,0.09430636820178911,0.05903463179821089,26,1,0.0766705,False,RS,1,1024,True,8,64,True,False,0.02845435552494556,256,True,4
80,10,0.09126994585515832,0.07574369414484164,9,1,0.08350681999999998,False,RS,4,16,True,8,4,True,False,0.012525311515152028,512,False,4
81,10,0.1218496093992136,0.1218225906007864,8,1,0.1218361,False,RS,4,512,True,32,128,False,False,2.1796559361512668e-05,2048,True,2
82,10,0.12299822680279555,0.12296677319720443,1,2,0.1229825,False,RS,2,2048,True,256,64,False,False,2.537419949476387e-05,512,False,8
83,10,0.09588849134272001,0.07231512865728001,29,1,0.08410181000000001,False,RS,8,256,True,2,64,True,False,0.019017063268309858,2048,False,8
84,10,0.08689200748508721,0.08048567251491279,1,25,0.08368884,False,RS,8,1,True,1,64,True,True,0.005168107710023079,8,True,4
85,10,0.23860345692664323,0.23816594307335684,1,3,0.23838470000000003,False,RS,2,1024,True,32,256,False,False,0.0003529504356138422,2048,True,16
86,10,0.08940508069213299,0.056637119307866995,14,1,0.07302109999999999,False,RS,8,1024,True,2,4,True,False,0.026434514376814267,1,True,16
87,10,0.1015575498795851,0.07110739012041489,1,24,0.08633247,False,RS,16,512,True,2,32,True,True,0.02456470137066803,4,False,4
