id,T_J,runs,T_I,RT_J,RT_I,cost_mean,U_J,U_I,technique,mean_confidence_interval_inf,correct_result,OMP,VEC,cost_std,SCREP,mean_confidence_interval_sup,baseline
182,32,10,2,1,32,0.4055766,13,1,RS,0.40554029968911276,True,False,False,5.8568250784877124e-05,False,0.40561290031088726,False
183,8,10,1024,16,32,0.7735972999999999,1,29,RS,0.7735462987016034,True,False,True,8.228736233466645e-05,False,0.7736483012983965,False
184,512,1,128,8,1,inf,1,8,RS,inf,False,True,False,inf,True,inf,False
185,1024,1,32,1,16,inf,18,1,RS,inf,False,True,True,inf,False,inf,False
186,2,10,1,8,4,0.614952,26,1,RS,0.6148253826858512,True,False,False,0.00020428901096240822,True,0.6150786173141489,False
187,256,1,4,16,2,inf,27,1,RS,inf,False,True,False,inf,False,inf,False
188,1024,10,1,32,2,0.40745529999999996,1,6,RS,0.40740986006208646,True,False,False,7.331445969248163e-05,False,0.40750073993791347,False
189,64,10,2048,32,8,1.024039,22,1,RS,1.0238613565366637,True,False,False,0.00028661646847312835,True,1.0242166434633362,False
190,32,10,512,2,16,0.784054,28,1,RS,0.7838518909315724,True,False,False,0.0003260901715783591,False,0.7842561090684277,False
191,64,10,128,1,1,0.7478254999999999,1,20,RS,0.7477720082415275,True,False,False,8.630556181382797e-05,True,0.7478789917584724,False
192,32,10,8,32,32,0.2305555,1,25,RS,0.2305155559051438,True,False,True,6.444726526393515e-05,False,0.2305954440948562,False
193,32,1,8,2,16,inf,22,1,RS,inf,False,True,True,inf,False,inf,False
194,1,1,128,1,4,inf,1,20,RS,inf,False,True,False,inf,True,inf,False
195,256,1,32,2,8,inf,22,1,RS,inf,False,True,False,inf,True,inf,False
196,32,1,128,32,32,inf,1,20,RS,inf,False,True,False,inf,True,inf,False
197,64,1,1,1,16,inf,29,1,RS,inf,False,True,True,inf,True,inf,False
198,1024,10,16,1,1,0.48963520000000005,1,25,RS,0.48960764483016456,True,False,False,4.445851999336546e-05,False,0.48966275516983554,False
199,1,10,128,8,32,0.9769333,20,1,RS,0.9768884394684779,True,False,True,7.237962420460636e-05,False,0.9769781605315221,False
200,16,1,32,4,2,inf,13,1,RS,inf,False,True,False,inf,True,inf,False
201,512,1,32,1,16,inf,1,13,RS,inf,False,True,True,inf,False,inf,False
202,1024,10,1024,2,4,0.3948881,5,1,RS,0.3948040541253087,True,False,True,0.0001356026917136947,True,0.3949721458746913,False
203,256,10,128,1,16,0.821517,27,1,RS,0.821343783976064,True,False,False,0.00027947307562625295,True,0.8216902160239361,False
204,32,1,1024,1,16,inf,1,18,RS,inf,False,True,True,inf,False,inf,False
205,256,10,2,1,16,0.2574437,1,7,RS,0.25721448993384316,True,False,True,0.0003698159136651634,True,0.25767291006615684,False
206,16,10,16,16,32,0.23688120000000001,1,27,RS,0.2368100428873791,True,False,False,0.00011480749104479224,False,0.23695235711262091,False
207,4,10,1024,16,8,0.719941,6,1,RS,0.719895856110784,True,False,True,7.283680388374897e-05,False,0.7199861438892161,False
208,4,10,4,4,16,0.26097400000000004,1,20,RS,0.2608547101447405,True,False,True,0.0001924666204826175,False,0.2610932898552596,False
209,2,1,16,8,2,inf,11,1,RS,inf,False,True,False,inf,True,inf,False
210,512,10,512,16,8,1.029523,1,2,RS,1.0289375508510865,True,False,True,0.0009445850941021741,False,1.0301084491489134,False
211,1024,10,512,32,16,1.009401,1,6,RS,1.0092862642373424,True,False,True,0.00018511888072260014,False,1.0095157357626576,False
212,64,10,1,32,1,0.2308176,12,1,RS,0.23068705368596878,True,False,True,0.0002106282032397371,False,0.23094814631403124,False
213,2,10,64,2,1,2.8639390000000002,21,1,RS,2.8636189618266674,True,False,False,0.0005163613076132086,True,2.864259038173333,False
214,4,10,128,1,4,0.5364500999999999,30,1,RS,0.5362275810756343,True,False,False,0.00035902018049129453,False,0.5366726189243656,False
215,256,1,32,4,4,inf,1,18,RS,inf,False,True,True,inf,False,inf,False
216,64,10,2048,1,8,0.7418893000000001,1,17,RS,0.7418389246931681,True,False,False,8.12773646226363e-05,True,0.741939675306832,False
217,8,1,16,8,16,inf,1,4,RS,inf,False,True,True,inf,False,inf,False
218,2048,1,256,4,4,inf,1,26,RS,inf,False,True,False,inf,True,inf,False
219,4,10,2048,4,16,1.087316,1,22,RS,1.0871431627344197,True,False,True,0.0002788619730260896,False,1.0874888372655802,False
220,2048,10,4,2,8,0.20380020000000001,1,28,RS,0.2037831521435794,True,False,True,2.7505635786144725e-05,True,0.20381724785642064,False
221,128,10,16,4,2,0.4068607,1,26,RS,0.40678234160566923,True,False,False,0.00012642630264307115,True,0.4069390583943308,False
222,512,10,128,2,2,0.45528630000000003,9,1,RS,0.4552612598971613,True,False,False,4.040061880713631e-05,False,0.45531134010283875,False
223,64,10,2048,32,2,0.43739429999999996,2,1,RS,0.4373739691168277,True,False,True,3.280259136105105e-05,False,0.43741463088317223,False
224,16,10,1024,4,32,0.8106293000000001,1,18,RS,0.8105766691823371,True,False,True,8.491648838713825e-05,True,0.8106819308176632,False
