id,RT1_K,RT1_J,T1_Ja,RT1_I,T2_K,T2_J,T2_I,T2_Ja,U2_I,mean_confidence_interval_inf,T1_I,T1_J,T1_K,technique,RT2_J,VEC2,VEC1,SCR,T1_Ia,T1_Ka,OMP1,U1_K,U1_J,U1_I,T2_Ka,RT2_I,runs,T2_Ia,U2_J,U2_K,cost_mean,RT2_K,OMP2,cost_std,correct_result,mean_confidence_interval_sup
1,8,8,1,1,32,128,256,1,4,0.12616163876331726,64,64,64,RS,8,False,False,False,128,1024,False,23,1,15,1024,8,35,1,1,5,0.1261974285714286,1,False,0.00010803023008512381,True,0.12623321837953994
2,1,1,256,1,256,1,64,1024,2,0.1329560927839927,256,32,512,RS,1,True,True,False,1024,1024,True,1,21,28,512,1,35,256,1,19,0.13434117142857138,32,True,0.004180809357636146,True,0.13572625007315006
3,1,8,512,8,32,16,512,128,1,0.16191014220120997,256,64,16,RS,8,False,False,False,2048,128,True,13,26,1,2048,1,35,512,26,1,0.16254357142857143,8,False,0.001911983013757695,True,0.16317700065593288
4,1,1,512,1,256,64,64,2048,21,0.20572516664149967,1,64,512,RS,1,True,False,False,64,1,False,5,26,1,256,32,35,256,1,23,0.20634874285714283,1,True,0.001882242057347828,True,0.206972319072786
5,1,8,64,1,1,256,1,1024,1,inf,32,64,256,RS,1,False,False,False,64,2048,False,28,1,3,128,1,1,2048,27,23,inf,32,True,inf,False,inf
6,1,1,128,32,512,512,64,2048,26,0.14536522192416654,1,16,64,RS,1,False,True,True,512,512,False,1,5,26,1,8,35,256,17,1,0.14539965714285713,1,False,0.00010394145133738671,True,0.14543409236154772
7,1,32,128,1,64,128,256,256,21,0.136772686277147,16,1,128,RS,8,False,False,False,256,512,False,13,1,23,2048,1,35,1,12,1,0.13679639999999998,8,False,7.157900729762953e-05,True,0.13682011372285297
8,1,8,1024,8,32,32,16,1,1,0.1502706856362178,64,32,16,RS,8,True,False,True,128,2048,False,8,30,1,2048,1,35,128,18,23,0.15163205714285713,8,True,0.004109250226660106,True,0.15299342864949647
9,8,1,1024,1,16,64,16,1024,19,0.10247316187561523,64,64,64,RS,1,False,False,False,128,64,True,1,13,14,1,8,35,128,28,1,0.10297817142857144,1,False,0.0015243529116263307,True,0.10348318098152764
10,8,1,2048,1,32,1,1,1024,2,0.16345141876211108,256,128,64,RS,8,False,False,True,512,128,True,1,12,1,1024,8,35,2048,1,27,0.16419062857142855,1,True,0.0022312778412600176,True,0.164929838380746
11,8,1,1,1,256,1,1,128,6,0.10262890055075465,32,512,1,RS,8,False,True,False,1024,128,True,1,11,11,2048,1,35,2048,1,18,0.10354811428571428,1,False,0.0027746131238316394,True,0.10446732802067392
