id,RT1_J,T1_Ja,runs,T1_I,T1_J,T1_Ia,cost_mean,baseline,technique,RT1_I,cost_std,correct_result,U1_J,U1_I,OMP,mean_confidence_interval_inf,VEC1,mean_confidence_interval_sup,SCR
1,32,1,1,8,16,2048,inf,False,RS,4,inf,False,1,27,False,inf,True,inf,False
2,2,2048,10,2,1024,2,2.2593609999999997,False,RS,1,0.0010798004445266675,True,1,19,False,2.2586917450486017,True,2.2600302549513978,True
3,4,128,1,16,8,1024,inf,False,RS,16,inf,False,1,6,True,inf,False,inf,True
4,1,2048,1,128,1024,1024,inf,False,RS,4,inf,False,1,29,False,inf,True,inf,False
5,16,64,1,64,4,2048,inf,False,RS,2,inf,False,10,1,True,inf,False,inf,True
6,4,1,1,128,256,1,inf,False,RS,2,inf,False,7,1,True,inf,True,inf,True
7,8,16,10,16,8,1,1.373651,False,RS,1,0.04182858961284732,True,25,1,True,1.347725847949651,False,1.399576152050349,True
8,8,4,1,4,2,2048,inf,False,RS,2,inf,False,15,1,False,inf,True,inf,True
9,32,1024,1,128,64,1,inf,False,RS,4,inf,False,18,1,True,inf,False,inf,False
10,4,2048,1,32,1,1,inf,False,RS,16,inf,False,1,7,False,inf,True,inf,True
11,32,2048,10,2,16,2048,3.196766,False,RS,1,0.0001408687332234714,True,7,1,False,3.1966786902589415,False,3.196853309741059,False
12,1,256,10,8,8,512,1.292071,False,RS,1,0.09253115869262635,True,27,1,True,1.2347206475089252,False,1.3494213524910748,True
13,16,32,1,512,2,512,inf,False,RS,2,inf,False,1,17,False,inf,True,inf,False
14,4,4,1,1,2,2048,inf,False,RS,32,inf,False,1,14,True,inf,False,inf,True
15,32,8,10,16,4,2048,0.9538304000000002,False,RS,1,0.36674027482625904,True,1,3,True,0.7265265995166752,True,1.1811342004833252,True
16,4,4,1,128,2,2048,inf,False,RS,8,inf,False,1,5,False,inf,False,inf,False
17,1,1,10,64,64,2048,0.9326826999999998,False,RS,1,0.31736398610303906,True,10,1,True,0.7359820779809623,True,1.1293833220190372,True
18,2,2048,10,4,2048,4,1.3339100000000002,False,RS,1,0.052845897475584595,True,1,23,True,1.3011563752669566,False,1.3666636247330437,True
19,8,512,1,128,1,128,inf,False,RS,2,inf,False,1,12,False,inf,True,inf,True
20,4,2048,10,1,32,2,2.445015,False,RS,16,0.0012552708870996923,True,10,1,False,2.4442369893399793,False,2.445793010660021,False
21,4,2048,1,32,512,64,inf,False,RS,16,inf,False,11,1,True,inf,True,inf,True
22,4,512,1,32,1,64,inf,False,RS,2,inf,False,1,20,True,inf,False,inf,True
23,16,256,1,2,8,64,inf,False,RS,2,inf,False,1,19,True,inf,False,inf,True
24,8,128,10,64,4,1024,3.2266999999999997,False,RS,1,0.0001403566884762219,True,1,7,False,3.226613007621731,False,3.226786992378268,False
25,16,256,10,64,256,512,1.5590870000000001,False,RS,1,0.09894575362793494,True,1,20,True,1.497760913433775,True,1.6204130865662252,True
26,2,1024,1,1,16,128,inf,False,RS,16,inf,False,1,13,True,inf,True,inf,False
27,16,1024,1,256,64,256,inf,False,RS,4,inf,False,1,11,True,inf,True,inf,False
28,1,1024,10,8,64,1024,1.2534239999999999,False,RS,1,0.10454230714882846,True,1,11,True,1.1886291973634984,True,1.3182188026365014,True
29,2,1,10,1,32,8,1.375048,False,RS,32,0.03956431493151376,True,14,1,True,1.3505262341489146,True,1.3995697658510855,False
30,2,2048,1,512,256,512,inf,False,RS,16,inf,False,1,17,False,inf,False,inf,True
31,1,128,1,1,128,16,inf,False,RS,16,inf,False,1,30,False,inf,False,inf,False
32,8,1024,1,512,1,1,inf,False,RS,4,inf,False,1,10,True,inf,True,inf,True
33,4,1024,1,1,128,16,inf,False,RS,16,inf,False,1,18,True,inf,False,inf,False
34,16,1024,1,2048,128,2048,inf,False,RS,4,inf,False,14,1,True,inf,False,inf,False
35,32,16,1,32,16,1,inf,False,RS,4,inf,False,1,11,False,inf,True,inf,False
36,4,512,10,1,256,2,1.366197,False,RS,1,0.03310809932629781,True,1,23,True,1.3456767645085148,True,1.3867172354914854,True
37,4,2,10,1,2,4,3.105273,False,RS,8,0.0023635060820738347,True,1,6,False,3.103808110671509,False,3.1067378893284907,True
38,1,128,10,2,2,8,1.4113919999999998,False,RS,32,0.04281714535089886,True,16,1,True,1.3848541460140502,False,1.4379298539859493,False
39,32,256,10,512,2,512,5.289555,False,RS,1,0.004032406849513172,True,8,1,False,5.287055734266441,True,5.292054265733559,False
40,4,2,10,2,2,1024,1.307318,False,RS,8,0.11451187377735111,True,1,29,True,1.2363441094929108,True,1.3782918905070891,True
41,1,2048,1,8,512,256,inf,False,RS,8,inf,False,22,1,True,inf,True,inf,True
42,2,16,10,128,16,1024,2.5676670000000006,False,RS,1,0.00018947559209566691,True,13,1,False,2.5675495639692767,False,2.5677844360307245,False
43,1,1,1,1,64,256,inf,False,RS,2,inf,False,22,1,False,inf,True,inf,True
44,2,16,1,32,1,512,inf,False,RS,16,inf,False,28,1,False,inf,False,inf,True
45,4,4,1,2,1,1024,inf,False,RS,2,inf,False,1,30,False,inf,True,inf,False
46,1,1024,10,4,256,256,2.274995,False,RS,1,0.0007296197639866642,True,30,1,False,2.27454278529481,False,2.2754472147051903,True
47,1,16,10,4,2,32,2.988413,False,RS,32,0.0006564304989868267,True,1,11,False,2.988006147637675,False,2.988819852362325,False
