id,T2_K,T2_J,T2_I,mean_confidence_interval_inf,RT_K,T1_I,T1_J,T1_K,technique,VEC2,VEC1,SCR,ACOPY_x,ACOPY_y,U1_I,RT_J,runs,RT_I,U_K,U_J,U_I,cost_std,correct_result,cost_mean,OMP,mean_confidence_interval_sup
1,2048,1024,1,inf,32,32,16,256,DLMT,False,True,False,True,True,15,1,1,1,1,27,26,inf,False,inf,False,inf
2,2048,1024,1,inf,1,32,256,32,DLMT,False,False,True,False,False,4,1,1,1,28,1,30,inf,False,inf,False,inf
3,1,2048,1,inf,1,32,128,64,DLMT,True,True,False,False,False,26,1,1,1,5,1,5,inf,False,inf,False,inf
4,512,1,1,inf,8,1,64,128,DLMT,True,True,True,False,False,14,1,1,1,29,26,1,inf,False,inf,True,inf
5,1024,1,128,inf,1,1,64,1,DLMT,True,True,False,True,False,4,1,1,1,8,16,1,inf,False,inf,False,inf
6,1,1024,2048,inf,1,32,1,32,DLMT,False,False,False,True,False,20,1,1,32,19,27,1,inf,False,inf,True,inf
7,2048,1024,512,inf,1,1,512,128,DLMT,True,False,False,True,True,28,32,1,1,7,3,1,inf,False,inf,False,inf
8,2048,1024,1,inf,1,16,1,1,DLMT,True,True,True,True,False,17,1,1,32,23,1,27,inf,False,inf,False,inf
9,2048,512,1,inf,32,32,16,512,DLMT,False,False,True,True,False,23,1,1,1,8,1,13,inf,False,inf,True,inf
10,2048,1024,1,inf,1,64,512,256,DLMT,False,True,False,False,False,24,1,1,32,1,29,30,inf,False,inf,False,inf
11,1,128,1,inf,1,512,16,512,DLMT,False,False,False,False,True,3,32,1,1,30,1,10,inf,False,inf,False,inf
12,1,1,2048,inf,1,1,256,1,DLMT,False,True,False,True,True,10,32,1,1,28,1,21,inf,False,inf,False,inf
13,1024,1,2048,inf,8,256,512,512,DLMT,False,True,True,False,False,1,8,1,1,12,24,1,inf,False,inf,False,inf
14,64,2048,128,inf,1,32,1,1,DLMT,False,False,True,False,True,1,1,1,32,1,23,5,inf,False,inf,True,inf
15,2048,2048,128,inf,1,1,16,512,DLMT,True,False,False,False,False,2,1,1,32,19,3,1,inf,False,inf,True,inf
16,2048,2048,1024,inf,8,512,1,16,DLMT,False,True,False,False,True,30,1,1,8,15,4,1,inf,False,inf,False,inf
17,2048,2048,512,inf,1,32,64,512,DLMT,True,False,False,True,True,30,1,1,1,1,30,19,inf,False,inf,False,inf
18,128,2048,2048,inf,1,128,256,128,DLMT,False,True,True,True,False,4,1,1,1,1,6,6,inf,False,inf,False,inf
19,64,1,2048,inf,32,1,32,1,DLMT,True,False,True,False,True,30,1,1,1,12,27,1,inf,False,inf,False,inf
20,512,64,1,inf,1,64,64,32,DLMT,False,False,True,False,False,4,32,1,1,1,26,1,inf,False,inf,False,inf
21,1,1,1,inf,8,1,256,16,DLMT,False,False,False,True,True,19,1,1,1,8,1,24,inf,False,inf,True,inf
22,512,1,1024,inf,1,32,1,512,DLMT,True,True,True,False,True,27,1,1,32,5,1,28,inf,False,inf,False,inf
23,256,2048,2048,inf,32,256,256,1,DLMT,True,True,False,False,False,1,1,1,1,1,5,24,inf,False,inf,False,inf
24,1024,2048,1,inf,32,512,512,32,DLMT,True,False,True,True,True,1,1,1,1,27,29,1,inf,False,inf,False,inf
25,1024,1,1,inf,1,256,256,64,DLMT,False,True,True,True,False,21,1,1,32,25,1,9,inf,False,inf,False,inf
26,128,1,1,inf,1,512,256,64,DLMT,True,False,False,True,True,12,1,1,32,4,24,1,inf,False,inf,False,inf
27,1,2048,512,inf,8,256,1,64,DLMT,True,True,True,True,False,24,8,1,1,1,16,27,inf,False,inf,False,inf
28,2048,64,2048,inf,1,512,1,16,DLMT,True,False,False,False,False,22,1,1,1,1,28,24,inf,False,inf,True,inf
