id,T_J,runs,T_I,RT_J,RT_I,cost_mean,U_J,U_I,technique,mean_confidence_interval_inf,correct_result,OMP,VEC,cost_std,SCREP,mean_confidence_interval_sup,baseline
1,64,10,16,32,32,0.23037610000000003,27,1,RS,0.23035691947159753,True,False,True,3.0946566853204605e-05,True,0.23039528052840252,False
2,16,1,1024,2,4,inf,1,15,RS,inf,False,True,True,inf,True,inf,False
3,2,1,2048,32,16,inf,1,30,RS,inf,False,True,True,inf,True,inf,False
4,1024,1,4,32,32,inf,1,15,RS,inf,False,True,True,inf,False,inf,False
5,2048,10,1,2,1,0.4532527,17,1,RS,0.4531894796610507,True,False,False,0.00010200200978413142,True,0.4533159203389493,False
6,32,1,256,8,1,inf,1,5,RS,inf,False,True,False,inf,False,inf,False
7,64,10,2,1,32,0.3233571,17,1,RS,0.3233035887116762,True,False,True,8.633707199111539e-05,True,0.3234106112883238,False
8,4,10,1024,16,2,0.3136557,1,23,RS,0.31361178801403833,True,False,True,7.08492060647117e-05,True,0.31369961198596163,False
9,2,1,2048,2,32,inf,14,1,RS,inf,False,True,True,inf,True,inf,False
10,8,1,1,16,16,inf,27,1,RS,inf,False,True,True,inf,False,inf,False
11,1024,10,256,32,16,1.023938,7,1,RS,1.0238591714278427,True,False,False,0.00012718490476467694,True,1.0240168285721574,False
12,2048,10,16,1,8,0.6230803,1,13,RS,0.6230169624969871,True,False,True,0.00010219104657455489,False,0.6231436375030129,False
13,16,1,4,8,32,inf,28,1,RS,inf,False,True,True,inf,True,inf,False
14,256,10,256,2,16,0.7524851,1,23,RS,0.7435846903376081,True,False,True,0.014360246853379652,False,0.7613855096623919,False
15,8,1,64,16,1,inf,24,1,RS,inf,False,True,True,inf,True,inf,False
16,8,10,32,8,1,0.6640051,1,17,RS,0.6638312032627137,True,False,True,0.00028057136347102234,True,0.6641789967372863,False
17,1024,10,4,16,1,0.21988880000000002,11,1,RS,0.21986322896649288,True,False,False,4.125724178856828e-05,False,0.21991437103350717,False
18,32,1,1,32,4,inf,1,9,RS,inf,False,True,True,inf,False,inf,False
19,256,10,1024,4,16,0.9627794,22,1,RS,0.9626408381146774,True,False,True,0.00022356081946530663,True,0.9629179618853225,False
20,64,1,512,32,1,inf,1,26,RS,inf,False,True,False,inf,True,inf,False
21,64,1,8,8,1,inf,18,1,RS,inf,False,True,False,inf,False,inf,False
22,1024,10,8,2,4,0.45970700000000003,1,17,RS,0.4596369889451811,True,False,False,0.0001129583994220917,False,0.45977701105481894,False
23,1,1,64,16,16,inf,1,4,RS,inf,False,True,True,inf,False,inf,False
24,8,10,16,8,4,0.3299514,2,1,RS,0.32961299586272674,True,False,False,0.0005459936263364248,False,0.33028980413727327,False
25,64,10,2,2,1,0.2035962,1,17,RS,0.203502050380442,True,False,True,0.00015190444364797262,True,0.203690349619558,False
26,1024,10,256,32,32,1.00191,17,1,RS,1.0016874599202024,True,False,True,0.00035905431344016324,True,1.0021325400797978,False
27,32,10,2048,4,16,0.9437415999999998,20,1,RS,0.9436168408792289,True,False,True,0.00020129093372528984,False,0.9438663591207708,False
28,1,10,512,8,32,0.9855397,1,19,RS,0.9819158485485999,True,False,True,0.005846854625352012,True,0.9891635514514001,False
29,8,10,1024,4,8,0.7858742,1,15,RS,0.7857687456317918,True,False,True,0.0001701439390633761,False,0.7859796543682082,False
30,1024,1,128,2,8,inf,1,19,RS,inf,False,True,True,inf,True,inf,False
31,64,10,256,1,16,0.765237,1,13,RS,0.7648625187336072,True,False,False,0.0006042017874849463,True,0.7656114812663927,False
32,2,10,2,4,8,0.3137491,1,12,RS,0.313732747626868,True,False,False,2.6383517582004546e-05,True,0.313765452373132,False
33,128,1,1,8,1,inf,12,1,RS,inf,False,True,True,inf,False,inf,False
34,2,1,2,2,4,inf,1,6,RS,inf,False,True,True,inf,True,inf,False
35,512,1,16,8,2,inf,21,1,RS,inf,False,True,False,inf,True,inf,False
36,512,10,4,4,4,0.24035279999999998,1,25,RS,0.24027716783663752,True,False,True,0.00012202770177299963,False,0.24042843216336243,False
37,1,1,256,32,32,inf,12,1,RS,inf,False,True,False,inf,True,inf,False
38,2,10,512,8,1,0.8819162,1,28,RS,0.8818720988068747,True,False,True,7.11544798308591e-05,True,0.8819603011931254,False
39,64,10,64,4,32,0.7845171000000001,1,18,RS,0.7844448618586596,True,False,True,0.0001165516623647847,False,0.7845893381413406,False
40,32,10,1,8,16,1.0347629999999999,1,23,RS,1.0345408218507777,True,False,True,0.00035847036139684854,True,1.034985178149222,False
41,512,10,1024,4,4,0.3947729,1,20,RS,0.3947153421277313,True,False,False,9.286597870048742e-05,True,0.39483045787226867,False
42,256,1,16,32,8,inf,1,29,RS,inf,False,True,False,inf,True,inf,False
43,128,1,4,4,16,inf,1,8,RS,inf,False,True,True,inf,False,inf,False
44,2,1,1024,4,16,inf,1,13,RS,inf,False,True,False,inf,False,inf,False
45,8,10,1,8,1,0.2906447,1,4,RS,0.29047388263376983,True,False,False,0.00027560299345254046,False,0.2908155173662301,False
46,2048,1,1024,8,2,inf,18,1,RS,inf,False,True,True,inf,False,inf,False
47,16,1,8,2,1,inf,13,1,RS,inf,False,True,True,inf,True,inf,False
48,8,10,1024,16,32,0.7880643,1,5,RS,0.7879479329091077,True,False,False,0.00018775092543049874,False,0.7881806670908924,False
49,1024,10,4,8,1,0.23840660000000002,1,28,RS,0.23838200389663144,True,False,False,3.968425380424912e-05,True,0.2384311961033686,False
50,2,1,4,8,1,inf,16,1,RS,inf,False,True,False,inf,True,inf,False
51,256,1,64,16,2,inf,17,1,RS,inf,False,True,True,inf,True,inf,False
52,8,10,128,4,16,0.9653069000000001,20,1,RS,0.9651983864917764,True,False,True,0.00017507966758020902,True,0.9654154135082238,False
53,64,10,64,4,32,0.8141280999999999,1,5,RS,0.8140699822259905,True,False,False,9.376934467084199e-05,False,0.8141862177740093,False
54,16,10,1024,32,1,0.22912689999999997,18,1,RS,0.22866877717386155,True,False,True,0.0007391521426607608,True,0.22958502282613838,False
55,512,10,1,1,4,0.2127335,8,1,RS,0.21264856987321973,True,False,True,0.00013702937641250435,False,0.21281843012678026,False
