id,SCREP,runs,T1_I,T1_J,cost_mean,U_J,U_I,technique,mean_confidence_interval_inf,cost_std,correct_result,T2_J,T2_I,OMP,VEC,PAR1j,ACOPY_A,PAR1i,mean_confidence_interval_sup,baseline
1,False,10,256,8,0.21247310000000003,19,1,RS,0.21244042034080227,5.272655877259346e-05,True,512,1,False,True,False,False,False,0.21250577965919779,False
2,True,10,256,128,0.07819624,21,1,RS,0.06852105288062067,0.015610301172315674,True,128,1,True,True,False,False,True,0.08787142711937933,False
3,True,10,4,4,0.03613036,6,4,RS,0.03239334004740849,0.006029444829036916,True,1024,512,True,True,True,True,True,0.03986737995259151,False
4,True,10,256,512,0.16506929999999997,3,2,RS,0.16503444453259397,5.623708740680235e-05,True,512,2048,False,True,True,True,True,0.16510415546740598,False
5,True,10,1024,1,0.0803056,7,1,RS,0.07567898358500484,0.00746475233561034,True,64,1,True,True,True,True,True,0.08493221641499517,False
6,False,10,64,256,0.03232376,2,5,RS,0.02771884424243032,0.007429739700312522,True,1,1,True,False,True,True,False,0.03692867575756968,False
7,False,10,1,8,0.248652,23,1,RS,0.24852841467338566,0.0001993970912526093,True,1,64,False,False,False,False,False,0.24877558532661437,False
8,False,10,32,4,0.13335219999999998,21,2,RS,0.1333347204614259,2.8202127579311738e-05,True,1,1024,False,True,True,False,True,0.13336967953857407,False
9,True,10,4,1024,0.06735427000000001,11,4,RS,0.05645654859064931,0.01758278276098809,True,1,256,True,False,True,False,False,0.07825199140935071,False
10,False,10,16,1,0.10798279999999998,7,2,RS,0.10796658836076525,2.6156452358834298e-05,True,1024,2048,False,True,False,False,True,0.1079990116392347,False
11,True,10,1024,1,0.057902199999999994,10,5,RS,0.053407144931793604,0.007252486441352371,True,32,1024,True,False,True,True,False,0.062397255068206384,False
12,True,10,32,128,0.14484740000000002,10,5,RS,0.14480596615739758,6.685087882743114e-05,True,256,32,False,True,False,True,True,0.14488883384260245,False
13,False,10,1024,8,0.10344039999999999,1,4,RS,0.10333274633084753,0.00017369237173808089,True,2048,1024,False,False,False,False,False,0.10354805366915244,False
14,False,10,2048,8,0.12690200000000001,14,3,RS,0.12160838622298296,0.008540910302772181,True,256,2048,True,False,True,True,True,0.13219561377701705,False
15,True,10,2048,1024,0.09195771999999999,2,1,RS,0.0833661347635243,0.013861978216459583,True,1,1,True,False,True,False,True,0.10054930523647569,False
16,False,10,2,1,0.06453016000000002,11,4,RS,0.05859478152858252,0.009576356960055321,True,16,32,True,True,False,False,False,0.07046553847141751,False
17,True,10,32,512,0.06474463999999999,10,4,RS,0.055510030608847606,0.014899456933069741,True,2048,128,True,True,True,False,False,0.07397924939115237,False
18,False,10,2,1,0.08050776000000001,24,1,RS,0.07273893109087883,0.012534513031242978,True,64,512,True,True,True,False,True,0.0882765889091212,False
19,True,10,16,16,0.09701074000000001,3,14,RS,0.09699826559677345,2.0126658937837058e-05,True,128,1024,False,False,False,False,True,0.09702321440322657,False
20,False,10,16,2,0.2329834,19,1,RS,0.2329449195623354,6.208574715665705e-05,True,32,256,False,False,False,True,True,0.2330218804376646,False
21,True,10,64,32,0.17714090000000002,3,6,RS,0.17713266138750136,1.329247907653233e-05,True,2048,1,False,False,True,True,True,0.17714913861249867,False
22,False,10,64,256,0.12549090000000002,10,4,RS,0.12548246327133966,1.3612126946222366e-05,True,1,64,False,True,False,False,False,0.12549933672866037,False
