id,T1_Ja,T1_La,T1_L,T1_M,mean_confidence_interval_inf,T1_I,T1_J,T1_K,technique,VRANGE,ORANGE,SCREP,T1_Ia,T1_Ma,T1_Ka,U1_K,U1_J,U1_I,VEC,U1_M,U1_L,baseline,runs,cost_std,cost_mean,correct_result,OMP,mean_confidence_interval_sup
1,1,8,4,8,3.295529286761407,128,4,64,RS,500,10,True,512,256,1024,7,1,1,True,4,2,False,10,0.005272248192185219,3.2987970000000004,True,True,3.3020647132385936
2,64,128,128,1024,3.2687584147388327,128,16,1,RS,500,10,False,256,1,1,3,1,2,True,12,1,False,10,0.06904957773223525,3.311555,True,True,3.354351585261167
3,256,1024,128,32,2.965013992750699,128,8,1024,RS,500,10,True,2048,256,1024,30,3,1,True,1,1,False,10,0.0001661956678135565,2.9651170000000002,True,False,2.9652200072493016
4,1,512,2,256,4.310718086652885,1,32,128,RS,500,10,True,2048,1024,512,2,2,1,True,25,1,False,10,0.026524758170433833,4.327158,True,True,4.343597913347114
5,512,128,16,1,0.2660900167667822,1,256,2,RS,500,10,False,8,32,32,3,5,1,True,2,2,False,10,0.033208693455780515,0.28667259999999994,True,True,0.3072551832332177
6,1,512,256,256,0.2928740850177209,8,2048,256,RS,500,10,False,1,512,512,2,1,3,False,4,4,False,10,0.033863154572632476,0.3138623,True,True,0.3348505149822791
7,128,512,256,64,5.3550562813596505,8,2,1024,RS,500,10,False,8,1024,1,1,6,5,False,4,1,False,10,9.957911427600418e-05,5.355118,True,False,5.35517971864035
8,256,256,32,16,2.7204284218045522,64,256,2,RS,500,10,True,1024,64,2,1,1,1,True,5,6,False,10,0.010607665200222011,2.727003,True,True,2.7335775781954474
9,32,2048,64,8,3.421349447925849,4,1,4,RS,500,10,True,4,1,256,1,2,2,True,13,3,False,10,0.00016223439832535662,3.42145,True,False,3.421550552074151
10,2048,1,2,64,6.078322467815772,1024,64,64,RS,500,10,False,1024,128,2048,1,4,3,True,1,2,False,10,0.00013477388471073184,6.078406,True,False,6.0784895321842285
