id,T2_K,T2_J,T2_I,mean_confidence_interval_inf,RT_K,baseline,T1_J,T1_K,technique,VEC2,VEC1,SCR,ACOPY_x,ACOPY_y,U1_I,RT_J,T1_I,runs,RT_I,U_K,U_J,U_I,cost_std,correct_result,cost_mean,mean_confidence_interval_sup
37,256,128,1,0.0902984886632322,8,False,1,64,SIMA,True,True,True,False,False,30,1,512,35,1,18,1,9,3.476379843504789e-05,True,0.0903100057142857,0.0903215227653392
38,128,128,1,0.11279894930064961,1,False,1,32,SIMA,True,True,True,False,False,29,1,512,35,1,17,1,9,0.0002373180248062894,True,0.11287757142857142,0.11295619355649324
39,512,256,1,0.09435510445351009,1,False,1,128,SIMA,True,False,True,True,True,30,8,512,35,8,19,1,10,3.939906660035967e-05,True,0.09436815714285714,0.09438120983220419
40,256,128,1,0.09390939310649754,1,False,16,128,SIMA,True,True,True,False,False,30,1,256,35,8,19,1,8,0.00014549350096994056,True,0.09395759428571428,0.09400579546493101
41,512,128,1,0.13930270344274057,1,False,16,128,SIMA,True,True,False,False,True,30,8,512,35,1,18,1,9,4.168752566317917e-05,True,0.1393165142857143,0.139330325128688
42,256,256,1,0.1221368671482188,1,False,1,64,SIMA,True,True,False,False,False,30,1,256,35,1,18,1,10,3.481149235525566e-05,True,0.12214840000000002,0.12215993285178124
43,128,128,1,0.15481655344640713,1,False,16,128,SIMA,False,True,True,True,False,30,8,512,35,1,18,1,9,0.0003332064090326124,True,0.15492694285714284,0.15503733226787855
44,256,64,1,0.12358373079300902,8,False,16,64,SIMA,True,False,True,True,False,30,1,512,35,1,19,1,8,6.187179635078771e-05,True,0.12360422857142857,0.12362472634984811
45,512,256,1,0.17824401994460926,1,False,1,32,SIMA,True,True,True,True,True,30,1,512,35,1,17,1,9,4.2025803540982184e-05,True,0.17825794285714283,0.1782718657696764
46,512,64,1,0.12910890241210202,32,False,1,128,SIMA,True,False,True,False,False,29,1,512,35,1,19,1,8,4.039700938617933e-05,True,0.12912228571428572,0.12913566901646942
47,256,128,1,0.11520684943998286,1,False,1,64,SIMA,False,True,True,True,False,29,8,256,35,1,17,1,8,2.865553335460107e-05,True,0.11521634285714286,0.11522583627430286
48,256,64,1,0.1309038374944739,32,False,1,128,SIMA,False,False,True,False,False,29,1,512,35,1,19,1,9,7.207122327593673e-05,True,0.1309277142857143,0.13095159107695467
49,512,64,1,0.1181232398700921,1,False,1,32,SIMA,True,True,False,True,False,30,1,512,35,8,18,1,10,0.00011552992721209788,True,0.11816151428571427,0.11819978870133643
50,512,64,1,0.1717647784574743,1,False,1,32,SIMA,True,True,False,False,True,29,1,512,35,1,19,1,8,5.905442664290526e-05,True,0.17178434285714286,0.17180390725681144
51,256,256,1,0.08967705600149559,8,False,16,128,SIMA,True,True,True,False,False,30,1,512,35,8,18,1,9,8.903949474525213e-05,True,0.08970655428571428,0.08973605256993297
52,256,256,1,0.11748619991110004,1,False,16,64,SIMA,True,False,False,False,False,30,1,512,35,8,18,1,9,8.546590679615891e-05,True,0.1175145142857143,0.11754282866032856
53,256,128,1,inf,32,False,16,128,SIMA,False,False,True,True,True,30,1,256,1,1,19,1,9,inf,False,inf,inf
54,512,128,1,0.09362800543910581,1,False,32,256,SIMA,True,True,True,False,False,30,1,512,35,1,17,1,8,4.928802777178968e-05,True,0.09364433428571428,0.09366066313232276
55,256,512,1,inf,32,False,16,128,SIMA,True,True,True,False,True,30,1,256,1,1,19,1,8,inf,False,inf,inf
56,128,512,1,0.12672469835483147,1,False,16,128,SIMA,True,True,True,True,False,29,1,512,35,1,18,1,8,3.2130041889742386e-05,True,0.12673534285714286,0.12674598735945425
57,256,512,1,0.20802052594876522,1,False,32,256,SIMA,True,True,False,True,True,29,1,512,35,32,19,1,8,0.00014002150272186906,True,0.2080669142857143,0.2081133026226634
58,512,128,1,0.11947100389673798,1,False,1,128,SIMA,True,True,False,False,False,30,1,512,35,8,18,1,9,3.698597638267171e-05,True,0.11948325714285717,0.11949551038897635
59,512,256,1,0.1326213155749653,1,False,32,128,SIMA,False,False,False,True,False,30,1,512,35,1,19,1,8,4.156466317065499e-05,True,0.1326350857142857,0.1326488558536061
60,512,256,1,0.20402047513246294,1,False,16,256,SIMA,True,True,True,False,True,30,1,512,35,32,18,1,9,0.0002955826401243094,True,0.20411840000000003,0.20421632486753713
61,256,256,1,0.12998527843441154,1,False,1,256,SIMA,False,True,False,False,False,30,1,256,35,8,17,1,8,3.822709798569911e-05,True,0.12999794285714286,0.13001060727987418
62,128,256,1,0.10584013998830426,1,False,32,64,SIMA,True,True,True,True,False,30,8,256,35,1,18,1,10,4.752789943275275e-05,True,0.1058558857142857,0.10587163144026714
63,512,512,1,0.10007913534563491,8,False,1,256,SIMA,True,False,True,True,False,30,1,512,35,1,18,1,9,0.0001637096376802162,True,0.10013337142857144,0.10018760751150797
64,512,128,1,0.22134172891293705,1,False,16,64,SIMA,True,False,False,True,True,30,1,512,35,32,17,1,10,0.00027920684454507444,True,0.22143422857142858,0.22152672822992012
65,256,512,1,0.08984590165705321,8,False,16,256,SIMA,True,True,True,False,False,30,1,512,35,8,18,1,8,4.288305273933817e-05,True,0.08986010857142857,0.08987431548580392
66,256,128,1,0.11432880330395497,8,False,1,256,SIMA,True,False,False,False,False,29,1,512,35,8,17,1,9,4.423207811864505e-05,True,0.11434345714285714,0.11435811098175931
67,256,512,1,0.12261804573120683,8,False,1,256,SIMA,False,True,False,False,False,29,1,512,35,1,17,1,10,3.125398260336383e-05,True,0.1226284,0.12263875426879317
68,256,512,1,0.09162072722861359,8,False,1,128,SIMA,False,True,True,False,True,30,1,512,35,8,18,1,10,4.3400934439295647e-05,True,0.09163510571428571,0.09164948419995783
69,512,128,1,0.09010987982553795,8,False,1,128,SIMA,False,True,True,False,False,29,1,512,35,8,17,1,8,3.178063535666739e-05,True,0.09012040857142857,0.09013093731731919
70,128,128,1,0.09377005545024447,8,False,16,64,SIMA,True,False,True,False,True,29,1,512,35,8,18,1,8,4.661018580104782e-05,True,0.09378549714285717,0.09380093883546986
71,512,512,1,0.08969206227049943,8,False,1,128,SIMA,True,False,True,False,False,30,1,512,35,8,19,1,10,6.564041599689023e-05,True,0.08971380857142858,0.08973555487235772
72,128,128,1,0.11732452689924185,8,False,16,128,SIMA,True,True,False,False,False,29,8,512,35,1,19,1,9,3.8512017737376265e-05,True,0.1173372857142857,0.11735004452932955
73,256,256,1,inf,32,False,16,128,SIMA,False,True,False,True,True,30,1,512,1,1,17,1,10,inf,False,inf,inf
74,128,512,1,0.15105991776427086,32,False,16,64,SIMA,False,False,False,False,False,30,1,256,35,1,18,1,10,4.2937923868329284e-05,True,0.15107414285714288,0.1510883679500149
75,256,256,1,0.11417929971687303,8,False,16,64,SIMA,True,True,False,False,False,30,1,256,35,1,19,1,9,3.42819759866766e-05,True,0.11419065714285716,0.11420201456884128
